Cert_ID,St_ID,Platform,Cost,Duration,Date
152,35981,Udemy,10.17,13,6/5/2022
153,28587,FutureLearn,23.4,16,2/15/2023
154,28587,Coursera,6.53,11,5/10/2020
155,29382,Coursera,10.94,1,4/24/2023
156,29382,Coursera,16.2,15,7/15/2021
157,28271,Coursera,24.53,2,1/15/2024
158,28271,edX,24.66,9,10/31/2022
159,102,Coursera,11.09,11,4/26/2024
160,102,FutureLearn,5.43,2,3/9/2024
161,6899,FutureLearn,3.58,14,9/11/2024
162,6899,FutureLearn,9.77,16,3/29/2021
163,31606,Coursera,18.09,10,3/17/2022
164,31606,edX,23.37,7,11/11/2024
165,14964,Coursera,7.61,7,6/8/2020
166,14964,LinkedIn Learning,0.26,15,7/30/2020
167,11420,FutureLearn,10.87,15,11/19/2020
168,11420,edX,15.26,7,8/13/2024
169,1637,FutureLearn,11.21,3,9/14/2023
170,1637,edX,14.36,15,5/10/2023
171,35465,LinkedIn Learning,19.02,10,4/29/2022
172,35465,edX,10.6,9,1/22/2023
173,10789,Coursera,13.64,7,4/10/2021
174,10789,Udemy,11.45,11,3/17/2022
175,24180,Coursera,10.6,15,9/2/2024
176,24180,Coursera,9.87,9,8/21/2023
177,38149,FutureLearn,16.51,16,6/1/2022
178,38149,FutureLearn,6.04,1,8/28/2024
179,38123,edX,7.35,9,4/3/2022
180,38123,Coursera,9.39,8,12/26/2022
181,11121,Coursera,10.97,16,9/8/2020
182,11121,edX,16.06,10,7/18/2024
183,31632,LinkedIn Learning,16.19,6,9/8/2022
184,31632,edX,0.48,4,9/25/2024
185,28196,LinkedIn Learning,2.85,6,1/17/2020
186,28196,FutureLearn,22.17,14,1/8/2020
187,31726,Udemy,9.75,12,4/22/2023
188,31726,FutureLearn,7.93,16,6/14/2024
189,32248,FutureLearn,5.7,13,4/4/2021
190,32248,Udemy,14.56,5,1/26/2023
191,28947,edX,19.1,14,12/16/2021
192,28947,FutureLearn,19.47,5,2/20/2023
193,17490,Udemy,21.79,12,12/19/2021
194,17490,Coursera,13.95,6,12/23/2021
195,3367,LinkedIn Learning,20.76,11,7/28/2020
196,3367,Udemy,10.15,9,6/17/2022
197,15032,edX,4.13,16,9/19/2022
198,15032,edX,14.61,7,4/12/2020
199,28445,Coursera,3.19,8,2/8/2020
200,28445,Udemy,10.53,15,9/16/2023
201,12490,Udemy,14.28,4,3/13/2021
202,12490,Udemy,16.53,11,10/24/2024
203,37738,FutureLearn,3.64,11,8/6/2024
204,37738,Coursera,4.63,12,3/24/2021
205,3021,LinkedIn Learning,4.55,14,1/22/2024
206,3021,Coursera,15.02,8,1/27/2022
207,39437,Udemy,11.08,2,7/13/2023
208,39437,FutureLearn,2.77,11,9/12/2021
209,22102,edX,15,14,12/29/2021
210,22102,Coursera,11.95,11,7/27/2023
211,14758,LinkedIn Learning,24.84,8,6/23/2021
212,14758,FutureLearn,19.45,13,12/8/2021
213,12246,LinkedIn Learning,9.72,2,7/29/2024
214,12246,Coursera,15.94,10,6/30/2020
215,27155,Udemy,14.19,9,10/23/2023
216,27155,Udemy,4.8,3,8/10/2023
217,7072,FutureLearn,5.02,10,11/30/2021
218,7072,LinkedIn Learning,11.59,2,10/23/2020
219,13830,FutureLearn,14.72,15,12/24/2021
220,13830,LinkedIn Learning,8.14,8,10/25/2023
221,8882,FutureLearn,2.43,3,5/7/2021
222,8882,Coursera,13.22,14,9/24/2021
223,34856,edX,10.94,5,5/27/2024
224,34856,edX,20.44,8,5/19/2023
225,15019,Udemy,0.14,1,5/24/2023
226,15019,FutureLearn,24.02,12,1/28/2023
227,8381,Udemy,22.35,10,6/27/2021
228,8381,Coursera,7.02,9,12/7/2020
229,9638,LinkedIn Learning,0.06,7,10/16/2020
230,9638,Coursera,15.76,6,5/14/2020
231,1158,Coursera,16.38,10,11/13/2021
232,1158,FutureLearn,24.44,6,12/8/2023
233,469,LinkedIn Learning,17.65,5,6/30/2022
234,469,Coursera,1.46,6,5/15/2022
235,19271,LinkedIn Learning,4.16,9,1/31/2022
236,19271,edX,15.28,11,5/2/2021
237,39606,Coursera,7.83,2,4/17/2022
238,39606,FutureLearn,23.22,5,7/4/2021
239,9958,Udemy,9.74,2,9/11/2024
240,9958,FutureLearn,10.37,3,1/6/2023
241,27209,LinkedIn Learning,10.87,10,9/9/2023
242,27209,FutureLearn,24.64,1,7/2/2024
243,38148,FutureLearn,22.04,14,7/20/2020
244,38148,edX,17.96,9,9/24/2021
245,38258,LinkedIn Learning,16.28,6,2/16/2021
246,38258,LinkedIn Learning,16.36,2,3/12/2020
247,37611,Coursera,23.93,9,1/2/2020
248,37611,Coursera,5.74,6,11/3/2022
249,15276,Coursera,6.53,4,12/19/2021
250,15276,Udemy,4.03,12,7/17/2020
251,35319,Coursera,14.46,14,1/9/2022
252,35319,Coursera,13.22,3,8/8/2022
253,18019,LinkedIn Learning,9.61,4,1/31/2022
254,18019,Udemy,10.98,10,3/28/2020
255,35215,FutureLearn,14.1,13,6/5/2023
256,35215,Coursera,22.59,12,4/15/2022
257,15179,FutureLearn,12.87,8,10/9/2023
258,15179,Coursera,8.33,5,10/30/2020
259,35310,Coursera,22.38,14,11/14/2023
260,35310,LinkedIn Learning,15.75,14,7/31/2020
261,19101,LinkedIn Learning,1.97,16,7/20/2022
262,19101,Udemy,24.72,9,3/10/2024
263,6564,LinkedIn Learning,10.05,2,3/3/2020
264,6564,LinkedIn Learning,7.85,14,12/31/2022
265,25146,Udemy,20,9,6/29/2021
266,25146,Udemy,16.2,3,7/29/2023
267,100,Udemy,6.68,4,1/21/2024
268,100,Coursera,24.27,3,2/10/2024
269,9319,Udemy,21.12,16,2/18/2024
270,9319,Coursera,16.8,6,2/9/2024
271,21318,LinkedIn Learning,13.34,9,5/31/2024
272,21318,FutureLearn,12.78,2,8/21/2024
273,21162,Udemy,20.11,2,10/10/2020
274,21162,FutureLearn,6.51,15,2/28/2024
275,12902,LinkedIn Learning,5.65,9,1/23/2020
276,12902,FutureLearn,5.55,16,3/31/2021
277,35794,edX,24.46,8,6/13/2020
278,35794,Coursera,20.83,1,2/20/2020
279,33280,Coursera,19.99,5,11/24/2021
280,33280,edX,18.37,12,7/14/2020
281,36084,Udemy,14.79,15,5/17/2024
282,36084,Udemy,5.06,13,12/29/2024
283,22867,Coursera,17.99,15,4/21/2020
284,22867,edX,1.04,15,1/6/2023
285,14927,FutureLearn,11.94,15,8/21/2020
286,14927,Udemy,23.97,8,3/17/2024
287,19813,Udemy,22.27,14,7/22/2021
288,19813,LinkedIn Learning,7.28,9,1/23/2020
289,24623,Udemy,10.47,1,11/18/2021
290,24623,FutureLearn,15.66,4,6/19/2024
291,26315,Coursera,15.64,5,2/8/2024
292,26315,Udemy,22.62,8,9/2/2023
293,22864,LinkedIn Learning,9.49,14,2/16/2020
294,22864,LinkedIn Learning,15.88,9,12/24/2024
295,29396,LinkedIn Learning,1.82,3,8/25/2020
296,29396,Coursera,8.39,7,1/25/2023
297,32066,edX,10.02,10,10/1/2023
298,32066,LinkedIn Learning,0.47,5,10/15/2021
299,40426,LinkedIn Learning,4.29,10,10/8/2020
300,40426,edX,17.12,1,7/19/2024
301,2732,Coursera,1.47,15,7/12/2020
302,2732,Udemy,14.03,6,3/9/2023
303,29870,edX,5.7,7,10/31/2022
304,29870,Udemy,6.52,6,10/30/2020
305,32559,LinkedIn Learning,23.05,11,7/25/2023
306,32559,LinkedIn Learning,22.37,12,9/19/2020
307,16246,edX,18.51,3,7/15/2021
308,16246,edX,10.04,14,2/9/2023
309,36667,Coursera,14.34,1,4/9/2020
310,36667,LinkedIn Learning,19.7,11,1/9/2023
311,20217,LinkedIn Learning,24.04,5,10/22/2023
312,20217,edX,2.25,2,6/9/2023
313,13259,FutureLearn,22.92,12,4/13/2023
314,13259,LinkedIn Learning,6.02,16,2/5/2024
315,15569,LinkedIn Learning,4.92,12,7/11/2022
316,15569,LinkedIn Learning,5.92,4,4/28/2022
317,25663,Coursera,13.69,3,11/3/2020
318,25663,LinkedIn Learning,19.51,10,5/19/2021
319,10098,Coursera,7.21,1,3/17/2021
320,10098,Coursera,7.86,5,8/5/2024
321,1532,edX,20.9,12,6/2/2024
322,1532,FutureLearn,18.89,1,12/15/2022
323,14158,FutureLearn,18.36,6,3/4/2023
324,14158,FutureLearn,24.94,8,4/19/2024
325,15118,edX,22.82,2,3/6/2021
326,15118,FutureLearn,2.02,8,7/20/2023
327,10110,LinkedIn Learning,1.49,16,6/16/2021
328,10110,Coursera,10.67,11,3/12/2021
329,38496,Udemy,5.7,2,9/30/2022
330,38496,FutureLearn,7.85,14,11/7/2020
331,39191,Coursera,1.72,7,3/23/2023
332,39191,FutureLearn,15.86,13,10/9/2022
333,14954,LinkedIn Learning,18.13,9,4/1/2020
334,14954,FutureLearn,0.73,16,7/15/2022
335,40859,Coursera,5.68,11,12/19/2024
336,40859,LinkedIn Learning,12.24,15,7/13/2020
337,9568,FutureLearn,9.91,5,3/12/2024
338,9568,Coursera,9.18,10,8/15/2022
339,14385,edX,4.19,15,2/12/2021
340,14385,FutureLearn,4.85,10,7/18/2024
341,23658,FutureLearn,21.57,8,2/4/2024
342,23658,Coursera,5.79,15,5/11/2022
343,21556,Coursera,24.24,16,7/3/2021
344,21556,Coursera,15.07,8,6/2/2021
345,34536,LinkedIn Learning,2.7,14,6/1/2020
346,34536,Coursera,10.07,15,9/22/2020
347,35089,edX,10.69,15,8/21/2024
348,35089,Udemy,13.43,4,11/18/2023
349,16953,LinkedIn Learning,12.92,11,5/9/2021
350,16953,Udemy,20.89,13,7/7/2022
351,32084,Coursera,7.33,2,3/14/2020
352,32084,Udemy,3.43,4,1/24/2022
353,39794,LinkedIn Learning,15.21,3,5/29/2022
354,39794,Coursera,6.11,14,10/21/2024
355,39379,Udemy,3.47,9,2/13/2020
356,39379,Coursera,5.9,10,3/19/2021
357,29857,LinkedIn Learning,2.35,15,5/20/2024
358,29857,LinkedIn Learning,20.83,6,2/25/2022
359,17337,FutureLearn,7.82,3,3/12/2022
360,17337,edX,1.56,7,11/2/2021
361,26503,Coursera,4.39,12,7/26/2020
362,26503,FutureLearn,4.82,6,6/14/2024
363,9870,LinkedIn Learning,21.99,13,9/30/2022
364,9870,FutureLearn,15.11,16,12/2/2021
365,37472,edX,3.72,13,1/14/2023
366,37472,Udemy,12.8,8,7/25/2023
367,13371,Udemy,18.85,13,11/9/2023
368,13371,edX,11.21,6,6/20/2024
369,13835,edX,23.06,6,1/9/2020
370,13835,LinkedIn Learning,11.3,13,11/28/2022
371,3500,LinkedIn Learning,0.73,12,8/13/2021
372,3500,FutureLearn,4.32,16,8/28/2021
373,9199,FutureLearn,0.52,10,7/20/2022
374,9199,LinkedIn Learning,18.46,8,7/27/2020
375,25436,LinkedIn Learning,18.49,15,3/22/2021
376,25436,Udemy,15.68,12,11/20/2020
377,29468,Udemy,19.98,8,10/6/2024
378,29468,Udemy,2.52,5,1/6/2020
379,18183,LinkedIn Learning,9.35,7,1/13/2020
380,18183,edX,2.84,7,7/23/2023
381,35737,edX,12.18,14,6/1/2022
382,35737,Coursera,2.25,14,12/21/2020
383,16099,edX,18.1,9,9/14/2024
384,16099,edX,11.77,7,3/18/2023
385,16014,FutureLearn,3.79,12,3/19/2023
386,16014,LinkedIn Learning,18.22,7,2/12/2022
387,26280,edX,24.46,7,2/27/2021
388,26280,FutureLearn,24.68,15,12/8/2024
389,36130,FutureLearn,11.04,2,3/20/2024
390,36130,Coursera,13.45,16,3/10/2023
391,8482,Coursera,1.8,10,5/20/2020
392,8482,FutureLearn,19.44,10,11/7/2024
393,24683,Coursera,19.4,5,10/15/2021
394,24683,edX,14.76,10,4/8/2022
395,4533,FutureLearn,11.43,10,11/26/2022
396,4533,edX,21.31,9,3/28/2023
397,23582,Udemy,15.19,11,9/5/2020
398,23582,LinkedIn Learning,9.83,8,8/25/2020
399,22481,FutureLearn,23.69,16,4/21/2020
400,22481,LinkedIn Learning,12.73,8,2/10/2020
401,10868,Udemy,12.57,14,2/26/2023
402,10868,FutureLearn,7.37,10,12/9/2022
403,14910,edX,23.12,2,4/26/2023
404,14910,Udemy,6.06,9,8/20/2020
405,29087,edX,8.62,16,4/17/2020
406,29087,FutureLearn,19.08,12,7/21/2021
407,34569,LinkedIn Learning,15.25,10,2/25/2021
408,34569,FutureLearn,1.16,14,10/25/2020
409,35246,LinkedIn Learning,13.03,6,4/14/2020
410,35246,Udemy,23.45,2,7/14/2020
411,9800,Coursera,23.6,13,7/23/2020
412,9800,Udemy,20.03,8,4/25/2023
413,38772,LinkedIn Learning,10.46,10,2/20/2021
414,38772,Coursera,5.47,12,6/4/2023
415,9925,Coursera,17.87,11,12/14/2024
416,9925,edX,19.66,7,9/6/2022
417,10355,Coursera,15.84,8,1/25/2022
418,10355,edX,22.12,2,7/21/2023
419,27015,Coursera,24.52,16,12/11/2021
420,27015,Udemy,13.63,14,11/14/2020
421,41836,Udemy,8.68,11,7/13/2022
422,41836,LinkedIn Learning,7.51,16,5/9/2021
423,26644,LinkedIn Learning,16.61,14,5/4/2023
424,26644,LinkedIn Learning,15.78,7,4/10/2022
425,40897,edX,0.21,16,2/26/2024
426,40897,FutureLearn,20.65,1,3/23/2022
427,3230,Udemy,23.44,14,9/8/2023
428,3230,edX,18.46,12,5/15/2021
429,7727,Coursera,2.44,4,1/5/2021
430,7727,Coursera,20.82,13,10/10/2023
431,34874,Udemy,20.56,11,12/5/2021
432,34874,edX,18.08,8,3/24/2020
433,7884,LinkedIn Learning,21.68,4,4/30/2022
434,7884,FutureLearn,18.97,6,10/5/2022
435,19817,LinkedIn Learning,14.3,15,3/12/2024
436,19817,Udemy,19.03,11,11/17/2022
437,15740,Coursera,9.45,11,12/3/2020
438,15740,Udemy,8.11,6,1/25/2023
439,17573,LinkedIn Learning,7.19,14,6/9/2022
440,17573,edX,15.58,3,4/5/2020
441,1031,FutureLearn,21.2,11,1/31/2021
442,1031,Coursera,6.05,2,10/19/2020
443,13815,Coursera,19.86,12,10/8/2024
444,13815,LinkedIn Learning,23.91,15,4/5/2020
445,27621,LinkedIn Learning,1.16,10,2/1/2022
446,27621,Coursera,8.41,8,10/10/2023
447,38501,edX,0.44,3,4/13/2024
448,38501,Udemy,1.32,9,3/9/2020
449,38700,FutureLearn,15.07,13,5/4/2021
450,38700,Udemy,18.05,8,9/25/2020
451,9908,edX,24.68,3,8/31/2020
452,9908,edX,16.68,9,9/11/2023
453,33466,FutureLearn,18.18,2,1/8/2023
454,33466,edX,22.75,13,5/13/2020
455,3231,FutureLearn,5.76,9,1/22/2021
456,3231,FutureLearn,5.73,3,9/2/2022
457,31506,Coursera,7.66,5,6/25/2021
458,31506,Udemy,4.87,15,2/8/2023
459,26256,edX,17.17,16,7/3/2022
460,26256,Coursera,6.16,9,12/14/2021
461,15250,edX,21.99,4,10/17/2021
462,15250,LinkedIn Learning,23.96,4,12/18/2022
463,22842,Udemy,8.99,13,5/11/2024
464,22842,Udemy,3.9,4,9/21/2021
465,36098,FutureLearn,8.41,4,8/6/2024
466,36098,LinkedIn Learning,12.22,6,4/6/2022
467,9141,FutureLearn,22.27,10,10/10/2021
468,9141,LinkedIn Learning,3.12,12,9/27/2020
469,15071,edX,10.51,10,2/10/2023
470,15071,Udemy,8.58,1,10/4/2020
471,15789,Coursera,2.24,16,4/26/2020
472,15789,Udemy,23.33,1,4/10/2020
473,22540,LinkedIn Learning,24.03,12,8/8/2023
474,22540,edX,23.87,3,12/12/2023
475,30378,FutureLearn,17.51,11,8/22/2021
476,30378,LinkedIn Learning,17.51,13,12/29/2023
477,14858,LinkedIn Learning,14.85,12,5/7/2024
478,14858,FutureLearn,0.98,4,12/30/2022
479,12118,edX,6.35,2,6/22/2022
480,12118,LinkedIn Learning,8.95,5,3/28/2020
481,14619,FutureLearn,22.77,8,1/16/2024
482,14619,edX,3.46,7,10/4/2023
483,4719,FutureLearn,6.79,5,8/23/2022
484,4719,Udemy,7.94,13,10/27/2020
485,37654,Coursera,8.23,2,12/17/2023
486,37654,FutureLearn,19.75,9,3/26/2023
487,23783,LinkedIn Learning,23.98,1,1/14/2023
488,23783,Coursera,23.58,7,9/1/2023
489,13341,LinkedIn Learning,17.84,3,10/21/2020
490,13341,FutureLearn,19.77,6,11/17/2023
491,5011,LinkedIn Learning,24.69,15,10/21/2023
492,5011,LinkedIn Learning,5.71,11,10/24/2023
493,30770,FutureLearn,12.85,1,6/5/2023
494,30770,Coursera,2.3,13,3/18/2024
495,21425,LinkedIn Learning,14.18,8,8/2/2023
496,21425,Coursera,16.2,13,3/25/2020
497,38531,LinkedIn Learning,19.77,16,3/31/2024
498,38531,FutureLearn,13.28,1,7/11/2021
499,11177,Coursera,17.2,2,12/21/2024
500,11177,FutureLearn,1.64,4,5/30/2021
501,32349,Coursera,7.86,5,2/25/2024
502,32349,FutureLearn,10.68,15,2/17/2020
503,17143,edX,23.74,3,2/9/2022
504,17143,LinkedIn Learning,22.72,9,1/27/2021
505,36794,LinkedIn Learning,23.16,2,6/5/2024
506,36794,LinkedIn Learning,2.9,3,1/9/2023
507,12022,FutureLearn,2.78,16,4/19/2024
508,12022,Coursera,5.47,5,4/17/2020
509,38727,edX,22.58,10,11/24/2022
510,38727,FutureLearn,14.14,10,1/1/2021
511,28341,edX,16.94,4,5/20/2022
512,28341,Coursera,6.18,15,4/25/2024
513,4687,FutureLearn,13.48,5,3/6/2021
514,4687,edX,1.71,7,2/1/2022
515,40359,Udemy,14.18,12,12/22/2024
516,40359,Udemy,21.05,1,2/19/2020
517,33144,LinkedIn Learning,14.7,16,3/21/2020
518,33144,LinkedIn Learning,22.36,14,9/20/2023
519,23591,Udemy,6.13,7,12/10/2021
520,23591,Coursera,20.69,13,12/18/2021
521,19547,edX,24.82,1,3/16/2024
522,19547,LinkedIn Learning,3.91,13,9/13/2024
523,9127,Coursera,11.78,6,11/21/2021
524,9127,LinkedIn Learning,20.06,10,10/17/2020
525,13577,edX,22.83,6,2/6/2021
526,13577,FutureLearn,0.56,5,9/6/2020
527,29069,Udemy,14.6,3,7/13/2024
528,29069,edX,24.62,7,2/23/2020
529,4504,edX,7.79,9,10/6/2020
530,4504,edX,24.68,15,1/7/2024
531,37093,FutureLearn,14.78,9,7/17/2024
532,37093,Udemy,14.26,14,6/7/2024
533,30028,Udemy,12.12,3,5/17/2020
534,30028,LinkedIn Learning,16.05,12,12/16/2022
535,14330,edX,19.02,1,1/7/2024
536,14330,Coursera,5.93,1,11/15/2022
537,15093,FutureLearn,14.92,11,6/23/2022
538,15093,LinkedIn Learning,14.05,14,9/2/2024
539,5537,Udemy,17.53,8,1/28/2022
540,5537,FutureLearn,21.18,2,7/6/2021
541,6393,edX,14.12,4,8/8/2022
542,6393,FutureLearn,1.41,13,11/14/2020
543,39475,Udemy,2.18,9,11/1/2022
544,39475,FutureLearn,17.8,8,9/2/2023
545,22747,Coursera,2.84,12,12/23/2022
546,22747,FutureLearn,21.75,6,3/14/2022
547,13795,Udemy,4.21,4,4/30/2020
548,13795,FutureLearn,15.29,13,8/3/2022
549,32790,edX,5.26,4,12/25/2022
550,32790,edX,3.8,10,3/1/2022
551,39016,LinkedIn Learning,7.65,12,5/19/2022
552,39016,edX,2.18,5,12/13/2022
553,37919,Udemy,14.85,9,12/21/2021
554,37919,Udemy,11.57,12,2/4/2024
555,12113,Udemy,21.3,12,11/20/2024
556,12113,LinkedIn Learning,13.18,9,11/24/2023
557,18106,FutureLearn,19.09,7,2/21/2022
558,18106,LinkedIn Learning,22,8,8/10/2023
559,11100,Udemy,23.73,9,6/23/2023
560,11100,Udemy,9.53,2,11/17/2024
561,23129,edX,23.52,16,1/8/2021
562,23129,Udemy,20.53,8,12/3/2024
563,27067,Coursera,0.79,5,1/18/2022
564,27067,Coursera,12.36,5,9/4/2021
565,10096,edX,5.92,14,7/9/2022
566,10096,edX,3.93,1,3/10/2022
567,17210,LinkedIn Learning,20.51,3,4/3/2022
568,17210,Udemy,5.04,12,8/31/2020
569,20780,edX,15.32,4,11/2/2023
570,20780,FutureLearn,14.36,5,10/15/2022
571,35301,FutureLearn,24.44,7,5/14/2022
572,35301,edX,11.36,8,2/6/2022
573,8014,FutureLearn,16.27,9,3/19/2021
574,8014,Coursera,20.55,8,9/7/2020
575,36625,FutureLearn,7.02,13,4/27/2020
576,36625,edX,8.36,7,9/5/2022
577,27346,LinkedIn Learning,24.88,3,6/22/2024
578,27346,Udemy,1.73,1,9/14/2022
