choice_id,qest_id,answer
HGC69SHX,231,b
BTHBN0O4,231,c
KKQXCLWG,231,d
DWRFHJUV,232,a
FDY5JF93,232,b
PHBXHHPL,232,c
6BA3GON2,232,d
WMLOBUNJ,233,a
TET0TRYG,233,b
DNFR9C80,233,c
5MZH17BQ,233,d
GS9G969G,234,a
Y382TYA4,234,b
REH866FP,234,c
A3KONU9M,234,d
WVMHYFJ5,236,a
2OA0I5YA,236,b
HRZ8TQ53,236,c
RY6SBXGM,236,d
V09W839X,241,a
YXIYQDR5,241,b
XHT6Y6RR,241,c
HQM2N0A3,241,d
EWGB46U1,243,a
JALGRVEI,243,b
0XYCTLOP,243,c
6DUL8Q1R,243,d
0XWMSYT3,245,a
2EUUZNCF,245,b
WN7D79Y3,245,c
8G5SB90C,245,d
IDA1SIK9,246,a
HGFHCXEB,246,b
ZOTX5UUT,246,c
RDQN2LOH,246,d
LAG1Q1N1,247,a
VHZFG1HB,247,b
S8FOZU8A,247,c
EXH0WLTE,247,d
HJOXJBUA,248,a
8G6VMEJG,248,b
DNPNRC1G,248,c
CAM4JGZT,248,d
QDH7XIEH,249,a
0LWO6U2U,249,b
6JEETDJ5,249,c
DPZ27EN6,249,d
PR0T3C6H,253,a
A2YGK4G3,253,b
N2KKMEET,253,c
KY0OQMED,253,d
VC5ZGOHB,254,a
322MO8U8,254,b
6NQ3W6WS,254,c
IWL1O1F6,254,d
8AABYSEQ,255,a
QND51G1D,255,b
WBB1JWY7,255,c
G5I1Z65W,255,d
K9KZ8ICJ,259,a
PL6MEKTM,259,b
NFUTZYQT,259,c
Z00I92PV,259,d
6AXXKXNK,265,a
EP79RVIK,265,b
P9VFCUPZ,265,c
6H7KKRWY,265,d
IGE5G3YU,267,a
3BCBX5FD,267,b
0HH6X5F4,267,c
5F8XDS5W,267,d
DVGC10PQ,269,a
RK61UHN9,269,b
HJ298VBU,269,c
1ET4V95R,269,d
6VKZTDWF,270,a
HF9CP343,270,b
9974HLPX,270,c
3JESNBFI,270,d
WYY2YWAD,271,a
IEQ1UL68,271,b
4IKCXRYA,271,c
ZXMVY7HJ,271,d
R96NC6DY,273,a
78P7JE22,273,b
MT7GDLH6,273,c
CQPQKC7R,273,d
BE7NBQIC,274,a
HHPIMDY0,274,b
QTCD0IEV,274,c
5IIY4B75,274,d
H6CBM2RN,278,a
IVI85YLZ,278,b
ZRIYMC7J,278,c
YKWR19M7,278,d
ALTR1R23,287,a
FWCDOKS6,287,b
O47LJ73R,287,c
IFZSUBJK,287,d
DI7A699G,289,a
GEHZDERV,289,b
XDBYM5SU,289,c
WGFJH4DX,289,d
6DY6CRDM,291,a
X8LLR8AB,291,b
R4MXEM2B,291,c
JLNUP4Z7,291,d
PBSJGF9B,294,a
ZKQ6JJE7,294,b
LZVVA499,294,c
FCF9IEEE,294,d
EDQAX9ET,297,a
Z0L052JP,297,b
E7U62C77,297,c
71KU8UWK,297,d
CWXK4EE8,300,a
R19XTDWP,300,b
9M6JQGGX,300,c
BPXQ3314,300,d
IK4H7C4D,303,a
9Q9FSX3L,303,b
DRI1FIRT,303,c
O61BX1YC,303,d
N00TBV3S,305,a
NK72IV2H,305,b
VKVFBC5H,305,c
NNYSOUJC,305,d
UNHP3IQM,307,a
DY6HSQ90,307,b
J919Y121,307,c
JPY9SO2J,307,d
TL1467MD,310,a
4EI7BXRP,310,b
36N87FYI,310,c
2715T3C1,310,d
O03H0L3H,313,a
8C984CPE,313,b
S5U5RLFR,313,c
GF9RHWF8,313,d
WN0BH6UI,315,a
8L4L4PV6,315,b
2GL5T5E6,315,c
FHS16BUG,315,d
2M9MXBCV,317,a
HBQBDHEH,317,b
K289GRHK,317,c
M6RA2AZM,317,d
O8K6NY30,320,a
BUSSV0VZ,320,b
LH9ERYYY,320,c
PJMQ6L7S,320,d
WIDSH6KG,321,a
CENUWFVD,321,b
JC6LEHBH,321,c
KB0H3BAD,321,d
CLLV76SU,324,a
4FKSQNDS,324,b
OG8GB91F,324,c
Y0FHVGD9,324,d
563I19FJ,325,a
EAK9Z0FO,325,b
27CP5BRR,325,c
TCKR2VXE,325,d
SNDB4C4L,327,a
LBQGL7YD,327,b
QKNFSHA5,327,c
FM02Z1FE,327,d
CZ0X74PI,328,a
NC51PJRW,328,b
ANGGUVRZ,328,c
A52VXBIK,328,d
PP8GSGFV,331,a
ICD20Q76,331,b
LJ4RA76R,331,c
4NTJV2MS,331,d
RNWMBVU7,333,a
J919WIME,333,b
E0GLHAZ5,333,c
I08JBQF8,333,d
RPJQMIU0,337,a
DHWX1D9C,337,b
S7DK8YMI,337,c
FX0IHTPE,337,d
K2G4JLVP,338,a
IZPEQ3HX,338,b
G38AUB02,338,c
I9CN2ASV,338,d
ZUOO8JKF,339,a
1VX9Q06B,339,b
CALMTZCT,339,c
ONODA3GG,339,d
89WO3P9A,342,a
5CMAG1KK,342,b
ZT73W0MR,342,c
3L7DHJDS,342,d
5PVFABAG,343,a
RTTTU1IL,343,b
EN0OKHR4,343,c
B1ZXK64E,343,d
4IOBXM2V,350,a
04I2N4C3,350,b
59EA8SCW,350,c
KJOHX73I,350,d
VFWG4JZ9,353,a
91V47TPP,353,b
U71BPU0C,353,c
XEIA5ANF,353,d
S7SRFO30,354,a
Q3845EU7,354,b
J3Q4MFXT,354,c
790IMT9P,354,d
D4QLE6G6,355,a
TVG9N3EN,355,b
UFLTI2ST,355,c
AE6B66IG,355,d
V769IKEM,356,a
Q2VOZCSM,356,b
Z5E6UANH,356,c
RR3CMOIX,356,d
59GWDKPK,357,a
5FR9IUDJ,357,b
5ARM6C62,357,c
PDVFJOHQ,357,d
4NXQ7WYQ,366,a
RFC3HTXC,366,b
KOHNJWOX,366,c
Y4Y8CLMY,366,d
GILQ69WY,367,a
KZX4E9XR,367,b
59L0A233,367,c
GTJDXAMN,367,d
LVAHJ6SU,371,a
O3OYEDU8,371,b
ZNQSOZP4,371,c
SJ8H3U4X,371,d
6ZBQ3G9G,375,a
TUE3T3XW,375,b
920CBFGO,375,c
7NCQ548P,375,d
TK0PH7BR,377,a
BBNG0KSE,377,b
FG5YRGVH,377,c
QMJFDSL7,377,d
QDURZ8LY,378,a
W0GRR2L5,378,b
YLKPH78S,378,c
ML1BG8NF,378,d
TX6OXN9U,379,a
LJQ3DYGN,379,b
LQTXAK7R,379,c
XXNIWYF3,379,d
IEBKPP61,380,a
MIUIPK4Z,380,b
TKL87JMN,380,c
YVY0X0HX,380,d
ARUEG9ET,381,a
B24HCHO8,381,b
CCQB1J5D,381,c
5IW77OJZ,381,d
IVWWBOIT,384,a
U0LF5OM0,384,b
Y6N4X4FD,384,c
G5GK7NZ2,384,d
DKWCUB4B,387,a
4JEPLLF7,387,b
EN74D6VG,387,c
BKHR8HTS,387,d
X86X737P,388,a
SS9D2GGI,388,b
AFUX8SSX,388,c
TWSZSGAD,388,d
WIHTBNWB,389,a
UHSIY2XT,389,b
I2BEF8F3,389,c
YC07188E,389,d
NL583Y48,392,a
2IEW9FHK,392,b
TR5TC9SY,392,c
56JI39RM,392,d
YOVRC8RX,396,a
MK5SV6X1,396,b
GM1XCVCG,396,c
220Y7O7S,396,d
43DQ6UFO,399,a
VKTROL2U,399,b
Z5VL2VJY,399,c
E7BZEC0F,399,d
6HGFVOJJ,405,a
8NI9FYOG,405,b
U91UA5L7,405,c
T7MG5A84,405,d
EQAVCTNG,406,a
RT23V4JR,406,b
LHF1U71N,406,c
C8LQK6UE,406,d
OGNWH4UX,408,a
I8EPPSBZ,408,b
RQH1XCNQ,408,c
68DDAJJX,408,d
BERAZ7BG,410,a
TJHVBO0H,410,b
05Y8T3Q8,410,c
KEACGGIJ,410,d
1AM4FWB9,412,a
SUVQBAAE,412,b
3WZ3ZBGG,412,c
VDQEHX5S,412,d
57JRPBPX,413,a
6A65X2BG,413,b
VOKNQE0V,413,c
PLX7OPEA,413,d
QXFJL1M6,414,a
GXUKPXBG,414,b
RFROOJKU,414,c
UP6Z9NH6,414,d
MTE6PIWP,419,a
BIVPSSU9,419,b
L7WEQ64L,419,c
HHTQXF0X,419,d
R1T5EZLB,424,a
73GSG499,424,b
KUIC2MEB,424,c
H6T9MWDB,424,d
VE1XN6BS,425,a
MUZFG8D2,425,b
Y3X7C6VL,425,c
0034H9OX,425,d
WKSZIFZ2,426,a
XJVE4POY,426,b
QTB8S9SU,426,c
RTTFLSZS,426,d
UN89R96L,433,a
UI0MWKMO,433,b
TZEYLLAT,433,c
Q8T4Z2WI,433,d
HO7BQXGI,437,a
W920T3FE,437,b
83X22PUY,437,c
V9UA4QPX,437,d
JSE6ZW0K,439,a
04LAYCXW,439,b
1AA9C6AM,439,c
763T4OH3,439,d
ZXF6P8B7,442,a
2SJTBYZF,442,b
045WGO2Q,442,c
ZFKJ0RLI,442,d
DW6BCUSV,447,a
B9IIRE5U,447,b
OCAY9UR6,447,c
X55G2BL2,447,d
MMZ46VP0,449,a
0DNM26CT,449,b
8V9DJKT1,449,c
9QYUF5FQ,449,d
ZC4VP43Q,450,a
B499SM9X,450,b
B61A9DDT,450,c
BJKFFDRF,450,d
ST3T5BU6,455,a
7S1FDV1K,455,b
RHWDR8RU,455,c
JFJ1XUBM,455,d
ESWWOEND,459,a
OXRIFUOJ,459,b
SF4HMQ7H,459,c
TMRIT3CG,459,d
74QBLKZ5,462,a
57GLX1AZ,462,b
EOIF6EKC,462,c
AL3S56D0,462,d
WOW5ZCA4,463,a
WRDTYKK5,463,b
U4EGQ6PY,463,c
8P171E7N,463,d
RF0JVPL7,469,a
79V03RPV,469,b
WOQPAI9Q,469,c
L7DN638H,469,d
KMFNL3A0,475,a
UFWNC2UU,475,b
T5UCDJH8,475,c
5QM5JHFU,475,d
MSM4P5CZ,476,a
RK5QFR0I,476,b
XTC7FNYM,476,c
LWV2W467,476,d
I7ADAZD6,477,a
878AIV6K,477,b
3KKSIL3D,477,c
QC2WK7EO,477,d
AJLK7H3K,479,a
DI0DYSNP,479,b
PL7JJUX4,479,c
M0N06DRO,479,d
1Z86LOKK,486,a
PVEV4HWC,486,b
8NLNZ0GX,486,c
NUMC9YG3,486,d
VEG3JJU3,489,a
FBP8JL4Z,489,b
PASL10CQ,489,c
XQS141HF,489,d
DOA6MA8Z,491,a
GYBLO1EX,491,b
40SKD0K4,491,c
G0T239HX,491,d
SH480PPM,497,a
HWRIF43A,497,b
G5N1FUBB,497,c
4WV1CW1U,497,d
9Y7KCY60,499,a
45SNWQZ2,499,b
WJYLAJTL,499,c
C6MRVVUL,499,d
WG01CIWM,501,a
K2PUMWPV,501,b
82AWIX5X,501,c
7UUIDVTO,501,d
5TBFKFH7,503,a
TJAMVSBB,503,b
SRDJGT1J,503,c
IWG1QK2X,503,d
RDHFROY2,506,a
0EXDBNBB,506,b
PTZQ11FK,506,c
9R2ZED0Q,506,d
DETTF4RE,507,a
L3QJYSNJ,507,b
6W94WCLL,507,c
E4372BM1,507,d
SQDU205E,508,a
5TZQ9PPP,508,b
XBM0UI20,508,c
5VPRZD5O,508,d
VA8I4PQD,510,a
R7O060IO,510,b
Y11XX7DQ,510,c
MW6QFEQY,510,d
5SSPM7P3,513,a
RZZQ3YMF,513,b
FFUEE4U1,513,c
E03XKLUX,513,d
O9L56OOF,518,a
89B5YF40,518,b
K193WVQH,518,c
IG2G8UK5,518,d
15O0L0LD,521,a
NRZ8N37A,521,b
XKLQ5WC9,521,c
IVB1S9K5,521,d
7MFKJL5R,523,a
SW32RLG5,523,b
81X07OQV,523,c
CAV9BBZ6,523,d
7JN09FV0,524,a
YDKAHWYL,524,b
CSOZIMJP,524,c
WYVSBBFZ,524,d
OAZIEKY9,529,a
AZ31LWEH,529,b
NS9W0ZXN,529,c
909VQADI,529,d
OWXN6MRX,531,a
QEXE1U4G,531,b
IA1559VQ,531,c
93ARYEA0,531,d
70CP021S,535,a
DRDBON7W,535,b
2F0XO1K4,535,c
LT8H8ZPM,535,d
T0PSAQ3R,537,a
73HWHZXV,537,b
V18EW57B,537,c
VFN47MOT,537,d
Y2EMDHLI,539,a
AZTIYN7S,539,b
26EDPQLL,539,c
GD7MTP69,539,d
PD0SV9PT,547,a
1N19VVUR,547,b
H0WPD4QA,547,c
IQGYEZX2,547,d
ITOFJRXY,548,a
1D18Y29O,548,b
JBR0M9WA,548,c
1TXBS20N,548,d
LKYTNVFF,551,a
4X1A5MTP,551,b
KB4E478D,551,c
VGKVLZWW,551,d
X1W8EWJE,555,a
6UYFA21E,555,b
T8GHP17D,555,c
CUHDD0GB,555,d
F3WPC8Z1,560,a
KOI6KN4S,560,b
5MM40OYK,560,c
ILLPGU6U,560,d
HOJFND94,562,a
4X0KNZCS,562,b
D8WZT02Q,562,c
T8CXODJ3,562,d
0YXIE8W6,565,a
T51255CW,565,b
ZDPAPPP2,565,c
RR6ZU07D,565,d
ZY2XRIGM,571,a
5GRETPWQ,571,b
8NCR5NQW,571,c
V7S87WJV,571,d
XUHVGN4D,573,a
A3XXSRMQ,573,b
2IFU5EK2,573,c
MVY56YRL,573,d
97WICM6L,574,a
HXB7XHK9,574,b
DTPQYVFK,574,c
QZFVS58Q,574,d
S5W8BP4S,576,a
HTJYM9DI,576,b
O62L1NHW,576,c
CZW67LUP,576,d
K9A21RJC,579,a
T0BT5VGP,579,b
6GIZRACK,579,c
STHXKTE1,579,d
AJ1LKX1T,582,a
HJJ29IVQ,582,b
LWWV5RQP,582,c
RSR5N36F,582,d
73DOJ1RY,585,a
S71QYWRD,585,b
6Q0PH8M5,585,c
55TZQZGE,585,d
UBCYO7P6,589,a
RGCTHD3E,589,b
Z4IVR9EE,589,c
8LDWU2GO,589,d
M17THNKL,596,a
L5YFKFTU,596,b
QUIN9H4X,596,c
TOONU2YF,596,d
DW51J1LW,605,a
3A39X7EN,605,b
FBTE3P4H,605,c
XCCRF82U,605,d
8H2TLSPT,609,a
QGZTSEUW,609,b
SZ8JYT2D,609,c
XLOVBC55,609,d
9930L7QL,610,a
NQTP4QOU,610,b
P9A95HYM,610,c
NG9QXDOE,610,d
WGY1V3AQ,615,a
2PB4FYOH,615,b
6ON2OKXR,615,c
KA20SGI7,615,d
UFEYRXS1,617,a
8K58MKXG,617,b
E01T08S5,617,c
8GWWQE1Z,617,d
HRH0B6ZF,620,a
WP4B2RLM,620,b
0UEPE4HK,620,c
18SYD64L,620,d
Y2L9H5EV,622,a
VF6M3RSF,622,b
DC6TN5W3,622,c
J6XQ9IT3,622,d
BT3KHWEJ,624,a
VUR0NGDJ,624,b
TOBXHUX0,624,c
YXXL6ZWF,624,d
GDM7VXKY,627,a
QTBS939Z,627,b
4N01E8XU,627,c
HYJHJ0V6,627,d
F3H8Y3KZ,631,a
6TXR3BH5,631,b
7ED4NXH6,631,c
TIM0E5P8,631,d
3C6A6UWO,632,a
AKTNG148,632,b
WQ25T3AY,632,c
ZC8E7XQ1,632,d
FW9CEL1T,633,a
D4XYPO08,633,b
49UE3FXE,633,c
T7KW5S31,633,d
UUTRWA4C,634,a
DBAEWH0H,634,b
NLQOZRQJ,634,c
03CLPOKS,634,d
622KDD2Y,635,a
4THQNFC2,635,b
CED7PVFX,635,c
UHABQO0P,635,d
0TMDS1LS,638,a
95U4VX27,638,b
RJ9ZB7WR,638,c
PD4400VA,638,d
TLLXS70K,639,a
4TGD701W,639,b
WB2DQUHM,639,c
1069RGMF,639,d
605889IF,644,a
OCGNGF8O,644,b
VB6A8AED,644,c
G5CU0FSM,644,d
JOLXRUY1,646,a
3R45FPDT,646,b
VTBL7TA4,646,c
9BOSRYO3,646,d
30X1NZOA,649,a
WAVZ32PM,649,b
ULWJYEWZ,649,c
7AL3T80P,649,d
IU5BA23Q,651,a
ZK8NUXMK,651,b
7C86Y5OO,651,c
Z0G7ULEK,651,d
QPVBWJOW,658,a
IXFPHS58,658,b
T40DK9CX,658,c
RTEM4G57,658,d
Y5PES5KL,664,a
VQOEK5LY,664,b
PQCY4DOS,664,c
M9OX9ZSA,664,d
S781KSZ6,670,a
1I6VVPKJ,670,b
07E5MM5L,670,c
U4F8F2K5,670,d
K0D88L86,671,a
2OUEVDC7,671,b
0W4PIDOG,671,c
QRAKWZEM,671,d
3D27AVRO,681,a
RNE1DMYK,681,b
HTV0BDZ2,681,c
UIBWW4WJ,681,d
8KRGCWYA,688,a
V7NGFP66,688,b
GXUWA8YH,688,c
7WUYVT6O,688,d
LW8ERDPM,697,a
NO411TKN,697,b
353W3WM0,697,c
0OPPHM3Y,697,d
VI8D2UQS,698,a
B34Y16GD,698,b
VN9IW9WI,698,c
FCY6AXDQ,698,d
4JK1A7WC,699,a
THJ9F1VJ,699,b
CUIXVXAU,699,c
ZABO9XD9,699,d
UTT51ME9,700,a
SZMLE7AO,700,b
UNBS1RIY,700,c
8MS9L5T2,700,d
0399Z3DW,701,a
WR9AF45W,701,b
S0UB4WTY,701,c
DBAOZAXV,701,d
7TX3F15X,703,a
IADGTOGL,703,b
ES5YG9JK,703,c
MSQ8Y1XN,703,d
GB157QY7,704,a
39MPZV3F,704,b
MWTAK2H5,704,c
ZOYQWPJT,704,d
EVFWSVYC,705,a
RPZQJON2,705,b
HJXO9EBQ,705,c
ZEFMTW85,705,d
OF7GAFKI,715,a
QUL22XUI,715,b
YU4LANMJ,715,c
UEH8C7N9,715,d
HCPV1S2O,716,a
TA1B2AHM,716,b
GJ10BWRB,716,c
NVXVPSRV,716,d
6VY2KSBX,718,a
CA8UYJGO,718,b
NLEFB76N,718,c
P6SLTHYA,718,d
NNK0Y5CI,721,a
F7CZ0OXH,721,b
LTBLHI7T,721,c
FQVVW8YM,721,d
NFDEGQ04,725,a
1M5QQ3ED,725,b
NEAYOB57,725,c
TMZKG4YE,725,d
VY3B395O,730,a
ESCV5GSC,730,b
GVCF7W0B,730,c
47WMFNTK,730,d
DXZE144C,731,a
32UTC7FI,731,b
N9ESK00Q,731,c
ZSBO441C,731,d
316GV5NK,736,a
NIZBW68T,736,b
99M48XAC,736,c
73ZPL9D4,736,d
G1CUJXU2,738,a
FS5EQYKJ,738,b
YWYPSKA2,738,c
DYZK5JSM,738,d
UDXM2DA3,739,a
JUDBNZYG,739,b
OWCZ1N0M,739,c
5EHVEORM,739,d
IQWIA0M7,740,a
7H8XC0JD,740,b
I8D6W4MW,740,c
TQUCJ3FW,740,d
HP5V0Q68,742,a
DVM8NWTK,742,b
ZXG0JKE1,742,c
S7AF2NH0,742,d
0XUTOCN0,748,a
3LH65EHX,748,b
CLAV1CQF,748,c
MDQBTEVW,748,d
A79B39HL,755,a
J7YMC6YN,755,b
27M4CHKE,755,c
NFIAOLIV,755,d
9IHRLE0V,756,a
MPO1EZD4,756,b
L6MZ65ER,756,c
AX8UIYWN,756,d
COWD4DZY,759,a
WN60KTSG,759,b
HMOQ5TYY,759,c
MOZWDRMX,759,d
F07QMYTD,760,a
RPSN4ZRF,760,b
B53BSG0K,760,c
BCIY1SR8,760,d
HEIHJAQ1,761,a
FRU798DA,761,b
6LRSW85Q,761,c
LIDHZMWJ,761,d
82QRA6T6,764,a
1ZC4WHKR,764,b
BYQ29LOW,764,c
5X0PCQP7,764,d
Y400H0GW,767,a
5P5JVREM,767,b
21NCJ5SE,767,c
20Q8NIQB,767,d
OZHHCS56,768,a
SZQ7ZZ6H,768,b
9B5DXH6S,768,c
5U4W715X,768,d
Y8CYTK7R,772,a
JBLI2S0O,772,b
QSW31XQC,772,c
4TWCRJLF,772,d
PTK163JI,775,a
80ORTEJ8,775,b
05916BVB,775,c
AHJY0LLU,775,d
ZNIG231C,776,a
6PTY9DXM,776,b
X5967ODR,776,c
5MAQTE2A,776,d
I418FWOS,778,a
O1WVSN2K,778,b
3HWJ8O83,778,c
YO30SPGV,778,d
KQXCI7K3,782,a
IQCHEPN1,782,b
L96WQCD2,782,c
8EWWNGU1,782,d
085U9R5E,785,a
5GKUN7OQ,785,b
SGKY569Y,785,c
L5DNE5ME,785,d
IKYLVT84,793,a
PZJ23VZK,793,b
TDCWM8K0,793,c
FC7RK795,793,d
AR066106,796,a
OIRYAI5G,796,b
NVA781SV,796,c
TLQED3UO,796,d
1JPOK9V0,798,a
8IEKRPB9,798,b
ERQVQN5H,798,c
4K4DIGST,798,d
RC56XGDL,804,a
RJ75A2EY,804,b
