St_ID,Exam_ID,Ques_ID,Student_Answer,Is_Correct
24275,1091,528,D,1
24275,1091,180,C,1
24275,1091,30,A,1
24275,1091,500,B,1
24275,1091,136,A,1
24275,1091,121,A,1
24275,1091,731,A,0
24275,1091,693,B,1
4513,592,288,B,1
4513,592,842,D,0
4513,592,725,B,1
4513,592,283,B,1
4513,592,278,B,1
4513,592,209,C,1
4513,592,932,B,1
4513,592,429,C,1
4513,592,1112,A,1
4513,592,1173,C,0
4513,592,1139,C,1
4513,592,1048,D,1
20732,1463,294,D,1
20732,1463,541,B,1
20732,1463,730,D,0
20732,1463,475,A,1
20732,1463,392,A,0
20732,1463,1113,C,1
20732,1463,549,B,1
20732,1463,880,A,1
20732,1463,416,C,1
20732,1463,1070,D,1
20732,1463,145,D,1
20732,1463,1108,D,1
3051,1405,576,A,0
3051,1405,651,B,1
3051,1405,754,A,1
3051,1405,417,B,1
3051,1405,199,D,1
3051,1405,37,C,1
3051,1405,173,A,1
3051,1405,151,B,1
3051,1405,1055,D,1
3051,1405,20,A,1
3051,1405,142,B,1
3051,1405,815,B,1
33943,512,1058,C,0
33943,512,341,A,0
33943,512,549,C,1
33943,512,898,C,1
33943,512,1155,D,1
33943,512,123,B,1
33943,512,184,A,1
33943,512,739,A,1
33943,512,283,B,0
33943,512,62,B,1
33692,433,527,A,1
33692,433,1009,A,0
33692,433,837,C,1
33692,433,978,B,1
33692,433,1067,A,1
33692,433,472,C,0
33692,433,732,B,1
33692,433,597,C,1
33692,433,828,C,1
33692,433,1013,C,1
33692,433,392,A,1
33692,433,855,A,1
2881,257,683,C,1
2881,257,197,A,1
2881,257,428,C,1
2881,257,305,B,1
2881,257,355,C,1
2881,257,840,D,1
2881,257,1131,D,0
2881,257,944,D,0
2881,257,582,D,1
2881,257,318,C,1
35168,1160,1104,C,1
35168,1160,176,D,1
35168,1160,355,B,1
35168,1160,492,A,1
35168,1160,1162,D,1
35168,1160,1108,C,1
35168,1160,1021,C,1
35168,1160,68,B,1
35168,1160,1028,C,0
41311,1252,1179,D,1
41311,1252,895,C,1
41311,1252,1051,A,1
41311,1252,13,C,0
41311,1252,133,B,1
41311,1252,1059,B,1
41311,1252,755,C,1
41311,1252,1,A,1
41311,1252,723,C,1
8373,884,560,A,1
8373,884,404,B,0
8373,884,634,C,1
8373,884,60,A,0
8373,884,91,A,1
8373,884,860,B,1
8373,884,1012,D,0
8373,884,1040,A,1
8373,884,888,B,0
8373,884,264,C,1
8373,884,274,B,0
8373,884,599,A,1
3728,582,76,B,1
3728,582,1092,B,1
3728,582,802,D,0
3728,582,1118,B,0
3728,582,1034,B,1
3728,582,404,D,0
3728,582,214,A,0
3728,582,224,D,1
3728,582,27,C,1
3728,582,877,D,1
23273,1074,1112,D,0
23273,1074,10,B,1
23273,1074,202,D,1
23273,1074,571,B,1
23273,1074,286,C,1
23273,1074,712,D,1
23273,1074,384,C,1
23273,1074,62,B,1
23273,1074,766,C,1
23273,1074,1147,C,1
23273,1074,262,B,1
23273,1074,472,B,0
38816,183,796,C,1
38816,183,1140,B,1
38816,183,1194,A,1
38816,183,59,D,0
38816,183,926,C,1
38816,183,278,B,1
38816,183,332,C,1
38816,183,1093,C,0
38816,183,404,A,0
9090,934,254,B,1
9090,934,905,A,1
9090,934,219,C,0
9090,934,161,A,1
9090,934,881,A,1
9090,934,1056,A,1
9090,934,1076,D,0
9090,934,885,A,1
9090,934,996,D,1
9090,934,565,A,1
1502,1126,582,D,1
1502,1126,1127,B,0
1502,1126,49,C,1
1502,1126,732,C,1
1502,1126,790,C,1
1502,1126,66,C,0
1502,1126,1166,B,1
1502,1126,719,A,1
1502,1126,906,C,1
1502,1126,238,B,0
1502,1126,972,C,1
1502,1126,19,C,1
24007,35,617,C,1
24007,35,393,C,1
24007,35,948,A,1
24007,35,123,B,1
24007,35,785,A,0
24007,35,1098,A,0
24007,35,836,B,1
24007,35,726,C,0
24007,35,1030,A,1
21463,240,1031,B,1
21463,240,851,C,1
21463,240,646,B,1
21463,240,923,B,1
21463,240,775,A,1
21463,240,393,B,1
21463,240,446,B,1
21463,240,875,A,1
21463,240,658,D,0
21463,240,520,A,0
10130,132,711,C,1
10130,132,842,C,1
10130,132,991,C,0
10130,132,99,D,1
10130,132,330,D,1
10130,132,179,B,1
10130,132,76,A,1
10130,132,195,C,0
10130,132,97,B,1
10130,132,568,B,1
24535,862,378,C,1
24535,862,394,B,1
24535,862,860,D,0
24535,862,83,B,1
24535,862,724,D,1
24535,862,874,B,1
24535,862,537,A,1
24535,862,748,B,0
24535,862,460,C,0
40269,897,684,B,0
40269,897,163,B,1
40269,897,717,B,1
40269,897,172,D,1
40269,897,207,D,0
40269,897,363,C,1
40269,897,271,A,0
40269,897,185,A,1
40269,897,662,A,1
40269,897,533,A,1
40269,897,18,C,1
7501,1453,486,B,1
7501,1453,196,D,1
7501,1453,44,C,1
7501,1453,452,D,1
7501,1453,904,A,1
7501,1453,244,B,1
7501,1453,762,B,0
7501,1453,248,C,1
7501,1453,852,D,1
7501,1453,790,A,1
7501,1453,826,C,0
34658,1255,90,A,0
34658,1255,1002,A,1
34658,1255,417,D,1
34658,1255,337,C,1
34658,1255,303,A,0
34658,1255,604,A,1
34658,1255,199,B,0
34658,1255,1160,D,1
34658,1255,720,C,1
34658,1255,687,A,1
34658,1255,441,D,1
13053,486,891,D,1
13053,486,554,B,0
13053,486,558,A,1
13053,486,827,A,0
13053,486,61,D,1
13053,486,619,C,0
13053,486,94,A,1
13053,486,1011,C,1
13053,486,426,B,1
13053,486,495,A,1
13053,486,444,B,1
28290,1057,545,C,1
28290,1057,1103,A,1
28290,1057,467,B,1
28290,1057,986,A,1
28290,1057,841,B,0
28290,1057,620,C,1
28290,1057,992,A,1
28290,1057,773,A,0
28290,1057,884,D,0
28290,1057,938,C,1
35025,125,1003,C,0
35025,125,74,B,1
35025,125,548,B,0
35025,125,291,A,1
35025,125,182,B,1
35025,125,451,C,0
35025,125,993,D,1
35025,125,1035,D,1
35025,125,914,C,1
35025,125,412,A,1
23402,1280,1060,C,0
23402,1280,848,D,0
23402,1280,889,D,1
23402,1280,566,D,0
23402,1280,384,B,1
23402,1280,770,B,1
23402,1280,858,C,0
23402,1280,152,C,1
23402,1280,635,B,1
23402,1280,660,B,1
26784,361,790,A,0
26784,361,544,D,1
26784,361,685,A,1
26784,361,144,C,1
26784,361,223,A,0
26784,361,148,C,0
26784,361,1152,D,1
26784,361,963,D,1
26784,361,87,B,1
26784,361,1181,B,1
26784,361,176,C,0
26784,361,284,B,0
252,104,782,C,1
252,104,226,A,0
252,104,794,B,0
252,104,1004,B,0
252,104,535,C,1
252,104,962,C,1
252,104,658,B,0
252,104,84,D,1
252,104,656,D,0
252,104,663,D,1
27115,962,654,B,0
27115,962,687,D,1
27115,962,787,A,1
27115,962,1063,B,1
27115,962,493,C,1
27115,962,17,A,1
27115,962,764,D,1
27115,962,507,C,0
27115,962,259,D,1
5247,1047,431,C,1
5247,1047,499,A,0
5247,1047,65,A,1
5247,1047,491,B,1
5247,1047,246,C,1
5247,1047,450,D,1
5247,1047,1031,B,1
5247,1047,632,C,1
5247,1047,208,D,1
5247,1047,279,A,1
2459,1015,1186,C,1
2459,1015,1046,B,0
2459,1015,794,A,0
2459,1015,1154,B,1
2459,1015,405,D,0
2459,1015,617,A,1
2459,1015,108,B,1
2459,1015,529,C,1
2459,1015,389,C,1
2459,1015,52,C,0
2459,1015,916,A,1
358,1300,553,A,1
358,1300,291,A,1
358,1300,1172,D,1
358,1300,997,B,1
358,1300,546,D,1
358,1300,870,C,1
358,1300,321,A,1
358,1300,1023,B,1
358,1300,1112,B,1
358,1300,87,A,1
358,1300,104,B,0
358,1300,2,D,1
32120,848,842,C,1
32120,848,595,D,1
32120,848,295,B,1
32120,848,366,D,1
32120,848,236,B,1
32120,848,339,B,0
32120,848,528,C,1
32120,848,1010,C,1
32120,848,770,D,1
32120,848,372,C,1
32120,848,467,D,1
37657,155,719,D,1
37657,155,700,B,1
37657,155,345,A,1
37657,155,287,C,1
37657,155,648,B,1
37657,155,1131,D,1
37657,155,34,D,1
37657,155,119,D,0
37657,155,35,B,1
26625,344,1144,B,0
26625,344,391,D,1
26625,344,297,B,1
26625,344,542,A,1
26625,344,625,C,0
26625,344,445,D,1
26625,344,368,C,1
26625,344,790,D,1
26625,344,784,B,1
26625,344,250,D,1
26625,344,1167,A,1
26625,344,171,A,1
6336,364,995,A,1
6336,364,593,C,0
6336,364,244,D,0
6336,364,719,C,1
6336,364,380,A,1
6336,364,1010,C,1
6336,364,309,B,1
6336,364,1139,D,0
6336,364,455,D,1
13246,1447,827,B,1
13246,1447,563,C,1
13246,1447,453,D,1
13246,1447,388,D,0
13246,1447,1018,D,1
13246,1447,227,D,0
13246,1447,587,B,1
13246,1447,682,A,1
13246,1447,419,D,0
35038,1073,1082,B,1
35038,1073,911,B,1
35038,1073,400,A,1
35038,1073,249,A,0
35038,1073,368,D,1
35038,1073,284,B,1
35038,1073,678,A,1
35038,1073,673,C,1
35038,1073,335,B,1
35038,1073,45,D,1
36577,1362,429,A,1
36577,1362,107,C,1
36577,1362,774,C,1
36577,1362,925,B,1
36577,1362,522,C,1
36577,1362,695,B,1
36577,1362,140,B,1
36577,1362,770,B,0
36577,1362,899,B,1
36577,1362,427,A,1
36577,1362,694,B,1
36577,1362,810,D,1
28417,1324,414,C,1
28417,1324,589,A,1
28417,1324,910,D,1
28417,1324,463,D,1
28417,1324,996,A,1
28417,1324,932,A,1
28417,1324,417,C,0
28417,1324,904,C,1
28417,1324,1198,B,1
16926,1096,151,A,1
16926,1096,542,D,1
16926,1096,581,A,1
16926,1096,132,C,0
16926,1096,405,C,0
16926,1096,244,A,1
16926,1096,970,C,1
16926,1096,27,B,1
16926,1096,742,B,0
39723,1227,997,D,1
39723,1227,1104,B,1
39723,1227,860,B,1
39723,1227,68,C,1
39723,1227,838,B,1
39723,1227,448,A,0
39723,1227,1186,D,0
39723,1227,546,A,1
39723,1227,173,B,1
39723,1227,472,D,1
39723,1227,612,A,1
39723,1227,1002,A,1
1388,76,853,B,1
1388,76,65,A,1
1388,76,1085,D,1
1388,76,305,B,1
1388,76,999,A,1
1388,76,129,D,1
1388,76,639,D,0
1388,76,855,B,0
1388,76,946,C,1
1388,76,631,A,0
1388,76,257,D,1
1388,76,392,D,0
39908,128,369,C,1
39908,128,593,B,1
39908,128,771,C,0
39908,128,986,B,1
39908,128,858,A,1
39908,128,319,C,1
39908,128,352,B,1
39908,128,460,A,1
39908,128,974,D,1
39908,128,46,D,1
39908,128,261,C,0
17960,705,1191,B,0
17960,705,69,B,1
17960,705,825,C,0
17960,705,99,C,1
17960,705,479,A,0
17960,705,794,C,1
17960,705,381,B,1
17960,705,52,D,1
17960,705,147,C,1
17960,705,646,B,1
17960,705,411,C,1
17960,705,204,A,1
25231,433,527,C,1
25231,433,1009,D,1
25231,433,837,B,1
25231,433,978,B,1
25231,433,1067,C,0
25231,433,472,C,0
25231,433,732,A,1
25231,433,597,C,1
25231,433,828,B,0
25231,433,1013,C,1
25231,433,392,B,1
25231,433,855,D,1
31995,280,422,D,0
31995,280,106,D,1
31995,280,107,D,1
31995,280,174,D,1
31995,280,498,A,0
31995,280,152,A,0
31995,280,737,B,1
31995,280,112,C,1
31995,280,247,B,0
31995,280,1,A,1
31995,280,288,A,0
31995,280,991,A,1
20157,1432,945,B,1
20157,1432,179,D,1
20157,1432,999,C,1
20157,1432,702,A,0
20157,1432,409,C,0
20157,1432,646,D,1
20157,1432,504,C,1
20157,1432,1050,A,1
20157,1432,784,D,1
20157,1432,326,B,1
20157,1432,635,B,1
10092,544,24,B,0
10092,544,266,D,0
10092,544,462,B,0
10092,544,830,B,1
10092,544,201,C,0
10092,544,131,D,1
10092,544,364,A,1
10092,544,1046,B,1
10092,544,814,C,0
10092,544,580,B,1
10092,544,378,D,1
10092,544,939,A,1
15408,90,399,A,1
15408,90,450,B,1
15408,90,1040,B,1
15408,90,1065,C,1
15408,90,1137,A,1
15408,90,172,D,1
15408,90,163,B,1
15408,90,732,A,0
15408,90,219,B,1
7374,293,1060,B,1
7374,293,949,D,0
7374,293,956,B,1
7374,293,248,A,1
7374,293,672,C,0
7374,293,718,C,1
7374,293,1008,C,1
7374,293,914,C,0
7374,293,34,C,0
7374,293,150,B,1
16960,385,1020,C,0
16960,385,356,B,1
16960,385,447,A,1
16960,385,170,B,0
16960,385,783,D,1
16960,385,652,A,1
16960,385,544,C,1
16960,385,275,D,0
16960,385,587,A,1
16960,385,860,B,1
38318,423,730,D,1
38318,423,664,B,1
38318,423,540,A,1
38318,423,1192,D,1
38318,423,591,D,1
38318,423,530,A,1
38318,423,179,B,1
38318,423,125,B,1
38318,423,727,D,1
38318,423,429,D,1
38318,423,86,B,1
38226,950,1184,C,1
38226,950,271,A,0
38226,950,619,A,1
38226,950,34,A,1
38226,950,931,C,0
38226,950,636,D,1
38226,950,876,A,1
38226,950,385,B,1
38226,950,120,C,1
38913,662,938,D,1
38913,662,671,D,1
38913,662,658,D,1
38913,662,432,D,0
38913,662,452,A,0
38913,662,1113,A,1
38913,662,234,D,1
38913,662,555,B,1
38913,662,813,A,0
38913,662,469,D,1
38913,662,201,C,1
6752,1437,599,D,1
6752,1437,798,C,0
6752,1437,446,A,0
6752,1437,503,B,1
6752,1437,67,D,1
6752,1437,883,D,0
6752,1437,915,C,1
6752,1437,1045,A,0
6752,1437,624,B,1
6752,1437,391,C,1
6752,1437,401,A,1
9828,1137,314,C,0
9828,1137,768,C,0
9828,1137,912,C,0
9828,1137,168,B,0
9828,1137,482,D,0
9828,1137,377,C,1
9828,1137,527,A,1
9828,1137,290,B,0
9828,1137,273,A,0
9828,1137,375,C,1
9828,1137,771,D,1
15615,182,598,A,1
15615,182,785,B,1
15615,182,932,A,1
15615,182,749,B,1
15615,182,656,A,0
15615,182,573,D,0
15615,182,744,D,1
15615,182,1191,A,1
15615,182,712,B,1
15615,182,111,B,0
15615,182,1065,B,0
15615,182,540,B,1
30194,1102,972,B,1
30194,1102,259,C,0
30194,1102,1091,B,0
30194,1102,435,D,0
30194,1102,160,C,1
30194,1102,936,B,0
30194,1102,891,C,1
30194,1102,192,C,1
30194,1102,452,A,1
30194,1102,22,D,1
15917,631,154,C,1
15917,631,511,B,1
15917,631,248,B,0
15917,631,418,A,1
15917,631,81,A,1
15917,631,579,C,0
15917,631,881,B,1
15917,631,63,C,0
15917,631,647,C,0
15917,631,502,D,0
15917,631,171,A,1
37500,1379,210,C,0
37500,1379,1112,D,1
37500,1379,697,D,0
37500,1379,730,B,0
37500,1379,962,B,1
37500,1379,1083,B,1
37500,1379,957,C,1
37500,1379,8,D,1
37500,1379,407,A,1
16538,507,1051,A,0
16538,507,222,B,1
16538,507,725,A,1
16538,507,861,D,1
16538,507,40,B,0
16538,507,1020,A,1
16538,507,91,D,0
16538,507,546,D,1
16538,507,1038,D,0
16538,507,631,D,0
16538,507,434,C,1
27756,262,552,A,0
27756,262,228,B,1
27756,262,763,B,0
27756,262,671,C,1
27756,262,708,C,1
27756,262,744,B,1
27756,262,154,B,1
27756,262,698,C,0
27756,262,631,B,1
32808,1358,217,B,1
32808,1358,397,D,1
32808,1358,862,A,0
32808,1358,454,D,0
32808,1358,1150,D,1
32808,1358,1148,C,1
32808,1358,569,B,0
32808,1358,1151,B,0
32808,1358,545,B,1
32808,1358,976,B,1
32808,1358,105,B,1
14286,443,951,B,0
14286,443,1156,B,1
14286,443,204,C,1
14286,443,966,A,1
14286,443,1148,B,0
14286,443,249,D,1
14286,443,2,B,1
14286,443,222,A,0
14286,443,241,C,1
14286,443,256,D,1
14286,443,41,A,1
14286,443,1027,A,1
17047,755,600,C,1
17047,755,186,D,0
17047,755,88,A,0
17047,755,373,B,1
17047,755,791,B,1
17047,755,1142,A,1
17047,755,1115,B,0
17047,755,735,B,0
17047,755,342,D,1
12927,547,1062,A,1
12927,547,880,D,1
12927,547,601,A,0
12927,547,162,A,1
12927,547,260,D,0
12927,547,263,D,1
12927,547,1153,C,1
12927,547,1136,A,1
12927,547,917,A,1
12927,547,569,B,0
12927,547,133,A,0
685,434,643,B,1
685,434,483,B,1
685,434,1040,D,0
685,434,586,C,0
685,434,783,B,1
685,434,1009,C,0
685,434,456,A,1
685,434,979,D,1
685,434,909,C,1
685,434,683,B,0
685,434,1172,C,1
2867,591,955,B,1
2867,591,1180,A,0
2867,591,681,A,1
2867,591,839,C,0
2867,591,116,B,1
2867,591,953,B,1
2867,591,100,C,1
2867,591,374,B,1
2867,591,1191,A,1
2867,591,882,A,1
25217,781,587,A,1
25217,781,473,A,0
25217,781,1066,D,1
25217,781,983,C,0
25217,781,992,C,0
25217,781,441,D,1
25217,781,596,B,0
25217,781,85,A,0
25217,781,313,C,1
25217,781,1099,C,1
25217,781,986,C,1
25217,781,226,A,1
3562,640,1112,D,0
3562,640,659,C,1
3562,640,154,B,1
3562,640,927,D,0
3562,640,739,D,1
3562,640,459,D,1
3562,640,1040,C,1
3562,640,789,C,1
3562,640,548,D,0
3562,640,307,A,1
3562,640,403,C,0
31568,240,1031,B,1
31568,240,851,A,0
31568,240,646,C,0
31568,240,923,B,1
31568,240,775,B,1
31568,240,393,B,0
31568,240,446,B,0
31568,240,875,B,1
31568,240,658,B,1
31568,240,520,D,1
6932,105,535,A,1
6932,105,375,B,1
6932,105,292,D,1
6932,105,1161,A,0
6932,105,582,B,0
6932,105,674,A,1
6932,105,472,A,1
6932,105,1039,D,1
6932,105,420,D,1
6932,105,159,D,0
6932,105,719,D,1
34459,1018,653,A,1
34459,1018,698,A,1
34459,1018,714,A,1
34459,1018,876,C,1
34459,1018,566,B,1
34459,1018,473,B,0
34459,1018,323,D,1
34459,1018,588,B,0
34459,1018,1108,A,0
34459,1018,267,C,1
34459,1018,252,C,1
34459,1018,943,A,1
6604,1079,722,A,1
6604,1079,794,A,1
6604,1079,592,C,1
6604,1079,382,B,1
6604,1079,575,A,1
6604,1079,587,D,0
6604,1079,661,A,1
6604,1079,293,A,0
6604,1079,1070,B,1
6604,1079,1171,A,1
6604,1079,815,B,0
16610,438,22,B,0
16610,438,724,C,1
16610,438,771,B,1
16610,438,9,D,1
16610,438,991,C,1
16610,438,660,D,0
16610,438,871,A,1
16610,438,122,A,1
16610,438,135,B,0
16610,438,379,B,1
32282,1049,376,B,1
32282,1049,222,D,1
32282,1049,301,A,1
32282,1049,377,C,0
32282,1049,303,D,1
32282,1049,392,D,0
32282,1049,214,B,1
32282,1049,1188,D,0
32282,1049,178,A,1
18694,142,199,A,1
18694,142,1042,B,1
18694,142,399,A,1
18694,142,390,C,1
18694,142,586,D,1
18694,142,385,D,1
18694,142,166,C,1
18694,142,769,D,1
18694,142,304,B,1
18694,142,756,A,0
18694,142,1010,C,1
18694,142,17,A,0
23581,1413,730,D,1
23581,1413,693,B,1
23581,1413,3,C,1
23581,1413,1039,B,1
23581,1413,963,D,0
23581,1413,131,A,1
23581,1413,1194,A,1
23581,1413,630,D,1
23581,1413,202,D,0
23581,1413,391,A,1
34941,1056,1064,D,1
34941,1056,844,A,1
34941,1056,658,B,1
34941,1056,368,A,1
34941,1056,457,D,0
34941,1056,218,A,1
34941,1056,1160,A,1
34941,1056,241,C,0
34941,1056,676,D,1
34941,1056,1043,A,1
34941,1056,98,A,0
8852,777,679,D,0
8852,777,368,A,1
8852,777,476,B,1
8852,777,775,A,1
8852,777,606,A,1
8852,777,701,A,1
8852,777,950,B,1
8852,777,1173,D,0
8852,777,1158,D,1
37530,458,170,C,0
37530,458,76,B,1
37530,458,1138,C,1
37530,458,355,D,0
37530,458,969,A,1
37530,458,635,D,1
37530,458,225,B,0
37530,458,742,D,0
37530,458,818,B,1
37530,458,564,B,1
37530,458,8,B,1
37530,458,30,A,1
15214,703,138,A,1
15214,703,38,B,1
15214,703,644,B,1
15214,703,268,C,1
15214,703,404,B,0
15214,703,110,D,0
15214,703,651,B,1
15214,703,942,A,1
15214,703,538,B,1
15214,703,1060,D,0
39573,1165,1199,D,1
39573,1165,977,B,0
39573,1165,173,D,0
39573,1165,510,B,1
39573,1165,961,C,1
39573,1165,67,C,1
39573,1165,384,D,1
39573,1165,305,C,0
39573,1165,852,B,1
39573,1165,743,C,1
39573,1165,1057,C,1
31924,1363,259,A,1
31924,1363,1121,B,1
31924,1363,13,B,1
31924,1363,823,C,0
31924,1363,466,A,1
31924,1363,235,A,0
31924,1363,173,D,1
31924,1363,1133,C,1
31924,1363,306,A,0
31924,1363,354,B,1
31924,1363,696,C,1
32039,1291,1194,A,1
32039,1291,250,A,0
32039,1291,584,D,1
32039,1291,1068,D,1
32039,1291,274,B,1
32039,1291,1087,C,1
32039,1291,268,C,1
32039,1291,215,A,0
32039,1291,554,A,1
32039,1291,891,B,0
32039,1291,1140,C,0
32039,1291,727,C,0
39143,18,1124,D,1
39143,18,206,A,1
39143,18,930,D,0
39143,18,896,C,0
39143,18,445,C,1
39143,18,684,C,1
39143,18,58,D,0
39143,18,1131,B,0
39143,18,1095,C,1
39143,18,721,B,0
39143,18,1147,D,0
36866,1016,101,B,1
36866,1016,46,B,1
36866,1016,860,D,0
36866,1016,869,B,1
36866,1016,1102,A,0
36866,1016,642,D,1
36866,1016,867,B,1
36866,1016,277,C,1
36866,1016,493,B,1
5192,748,300,B,0
5192,748,1057,C,1
5192,748,44,B,1
5192,748,525,B,1
5192,748,602,B,0
5192,748,165,D,0
5192,748,388,A,0
5192,748,606,B,1
5192,748,356,C,1
22632,168,1162,C,1
22632,168,359,A,0
22632,168,812,B,1
22632,168,965,D,1
22632,168,585,B,1
22632,168,1035,C,0
22632,168,645,A,0
22632,168,666,D,1
22632,168,1049,D,1
29234,35,617,A,1
29234,35,393,B,0
29234,35,948,D,1
29234,35,123,C,1
29234,35,785,A,1
29234,35,1098,D,1
29234,35,836,B,0
29234,35,726,D,1
29234,35,1030,A,1
33371,579,532,B,0
33371,579,774,D,1
33371,579,1109,D,1
33371,579,800,C,1
33371,579,1090,D,1
33371,579,949,C,1
33371,579,792,A,0
33371,579,798,C,1
33371,579,287,D,1
33371,579,823,C,1
33371,579,767,C,1
34362,58,1047,A,1
34362,58,270,A,1
34362,58,363,C,1
34362,58,153,B,1
34362,58,202,D,0
34362,58,959,B,1
34362,58,1123,D,0
34362,58,778,C,1
34362,58,350,C,0
19632,979,1171,C,1
19632,979,962,A,0
19632,979,880,C,0
19632,979,490,B,1
19632,979,932,B,1
19632,979,1123,C,1
19632,979,279,C,1
19632,979,226,A,1
19632,979,768,A,1
19632,979,480,B,1
