FreeLance_ID,St_ID,Platform,Payment,Duration,Date,Job_Description,Tools
121,17741,PeoplePerHour,174,4,4/2/2021,Bug fixing and testing,Excel
122,17741,PeoplePerHour,56.92,4,1/27/2023,ETL pipeline creation,Power BI
123,32015,PeoplePerHour,147.12,6,4/25/2023,Bug fixing and testing,R
124,32015,Toptal,230.05,6,2/24/2023,Statistical data analysis,C++
125,7882,PeoplePerHour,188.86,4,9/26/2021,Machine learning script,R
126,7882,PeoplePerHour,10.58,4,11/6/2021,Machine learning script,Tableau
127,22578,Fiverr,252.77,3,1/23/2021,Web scraping service,Excel
128,22578,Fiverr,126.06,6,10/18/2022,Dashboard in Power BI,C++
129,24795,Upwork,65.9,6,7/30/2024,Data visualization project,R
130,24795,Freelancer,185.19,7,7/18/2021,Bug fixing and testing,Tableau
131,23473,Freelancer,236.62,4,9/29/2021,Data analysis with Python,Excel
132,23473,Toptal,117.55,7,4/11/2023,ETL pipeline creation,Tableau
133,3394,Fiverr,21.13,7,8/7/2021,ETL pipeline creation,JavaScript
134,3394,Freelancer,215.55,6,3/20/2024,Backend API development,R
135,14303,Upwork,294.84,5,7/10/2021,Machine learning script,Power BI
136,14303,Fiverr,286.01,7,3/20/2023,Machine learning script,Tableau
137,31027,Upwork,173.04,5,11/3/2021,Statistical data analysis,Excel
138,31027,PeoplePerHour,118.4,5,3/20/2020,Statistical data analysis,Tableau
139,6494,Toptal,245.54,3,11/6/2022,Bug fixing and testing,Power BI
140,6494,Freelancer,275.73,5,8/11/2024,Data visualization project,Excel
141,21200,Freelancer,289.12,4,5/9/2023,Backend API development,C++
142,21200,Freelancer,298.25,6,4/17/2023,Machine learning script,JavaScript
143,2033,Upwork,98.35,6,1/4/2021,Web scraping service,R
144,2033,Fiverr,101.85,4,9/22/2020,Dashboard in Power BI,Power BI
145,700,Toptal,185.79,6,7/19/2024,Bug fixing and testing,JavaScript
146,700,PeoplePerHour,84.11,4,12/6/2020,Machine learning script,Power BI
147,31734,PeoplePerHour,240.54,5,10/5/2021,Bug fixing and testing,Tableau
148,31734,Upwork,17.63,6,9/20/2024,ETL pipeline creation,Tableau
149,16820,Freelancer,240.98,3,7/4/2023,Automated report building,R
150,16820,Freelancer,8.44,5,2/17/2024,Dashboard in Power BI,JavaScript
151,36356,Freelancer,276.03,5,4/8/2020,Statistical data analysis,Tableau
152,36356,Toptal,44.84,7,11/16/2024,Automated report building,Tableau
153,33746,Upwork,277.93,4,3/8/2024,ETL pipeline creation,C++
154,33746,Toptal,74.17,3,2/8/2024,Statistical data analysis,R
155,14523,PeoplePerHour,137.26,4,2/4/2022,Bug fixing and testing,Python
156,14523,Toptal,148.37,5,1/8/2023,ETL pipeline creation,Power BI
157,33466,Toptal,259.32,4,1/22/2020,Bug fixing and testing,JavaScript
158,33466,Freelancer,252.1,3,10/3/2020,Machine learning script,Tableau
159,9763,Freelancer,34.82,6,3/27/2024,Machine learning script,SQL
160,9763,Freelancer,203.66,7,5/22/2023,Bug fixing and testing,JavaScript
161,28587,Toptal,163.85,7,8/21/2022,Automated report building,SQL
162,28587,Freelancer,138.91,7,5/19/2024,Web scraping service,SQL
163,35253,Upwork,208.38,5,9/1/2024,Data visualization project,Excel
164,35253,PeoplePerHour,3.41,7,7/31/2023,Data analysis with Python,JavaScript
165,9486,Upwork,128.86,5,6/22/2022,Data visualization project,Excel
166,9486,PeoplePerHour,269.31,5,1/31/2023,ETL pipeline creation,Tableau
167,3620,Fiverr,58.09,5,3/14/2020,Machine learning script,JavaScript
168,3620,Freelancer,161.74,5,12/7/2021,Dashboard in Power BI,JavaScript
169,5367,Freelancer,42.43,7,5/13/2020,Machine learning script,Power BI
170,5367,Upwork,165.04,4,8/26/2024,ETL pipeline creation,Power BI
171,9377,PeoplePerHour,81.11,4,2/19/2021,Bug fixing and testing,Tableau
172,9377,Toptal,108.25,7,6/11/2024,Backend API development,JavaScript
173,2257,Toptal,133.37,7,4/19/2021,Data analysis with Python,SQL
174,2257,Fiverr,82.9,3,10/9/2023,ETL pipeline creation,R
175,9468,Toptal,190.44,7,7/12/2020,Backend API development,C++
176,9468,Freelancer,207.4,3,11/11/2024,Web scraping service,R
177,7048,Toptal,233.28,6,10/7/2023,Bug fixing and testing,Tableau
178,7048,Fiverr,200.26,4,12/23/2024,Backend API development,Excel
179,20887,Toptal,114.41,7,11/22/2022,Automated report building,C++
180,20887,Freelancer,134.52,6,10/21/2023,Statistical data analysis,Tableau
181,9391,Toptal,137.36,4,3/8/2020,ETL pipeline creation,SQL
182,9391,Freelancer,174.13,7,10/3/2021,Data visualization project,Tableau
183,26512,Toptal,12.66,4,3/10/2021,Dashboard in Power BI,Power BI
184,26512,Upwork,216.32,5,11/16/2024,Dashboard in Power BI,JavaScript
185,11373,Toptal,200.59,4,3/3/2024,Data visualization project,Power BI
186,11373,Fiverr,244.31,6,5/25/2020,Automated report building,Power BI
187,3147,Fiverr,219.67,3,2/11/2024,Automated report building,C++
188,3147,PeoplePerHour,299.31,6,10/18/2023,Machine learning script,JavaScript
189,31704,Upwork,199.42,5,2/3/2024,Web scraping service,SQL
190,31704,PeoplePerHour,287.48,6,2/5/2024,Data analysis with Python,Power BI
191,27889,Upwork,159.94,7,4/23/2020,Automated report building,Python
192,27889,Freelancer,195.17,3,10/25/2021,Automated report building,Power BI
193,30922,PeoplePerHour,4.91,6,5/23/2020,Automated report building,SQL
194,30922,PeoplePerHour,47.15,3,1/30/2023,Bug fixing and testing,JavaScript
195,37524,Fiverr,220.56,7,8/29/2022,Backend API development,Python
196,37524,PeoplePerHour,156.7,6,10/16/2021,Machine learning script,C++
197,23917,Toptal,264.46,7,4/7/2020,Web scraping service,R
198,23917,Fiverr,166.24,5,5/7/2022,Backend API development,C++
199,32270,Fiverr,250.34,5,3/2/2024,Data visualization project,Excel
200,32270,Freelancer,130.21,6,11/1/2021,Dashboard in Power BI,Power BI
201,20516,Fiverr,78.99,3,8/27/2024,Statistical data analysis,Excel
202,20516,Freelancer,29.84,6,1/7/2021,Statistical data analysis,R
203,30308,Freelancer,278.68,7,1/15/2021,Backend API development,SQL
204,30308,Toptal,144.71,7,9/8/2021,Bug fixing and testing,R
205,6815,Upwork,197.64,4,10/14/2020,Machine learning script,SQL
206,6815,Freelancer,8.57,6,3/18/2022,Dashboard in Power BI,Tableau
207,33133,Fiverr,189.53,3,7/22/2020,ETL pipeline creation,SQL
208,33133,Toptal,239.98,6,2/28/2022,Statistical data analysis,Excel
209,28395,Freelancer,103.98,6,2/18/2020,Machine learning script,Power BI
210,28395,Freelancer,82.83,3,1/31/2023,Bug fixing and testing,Tableau
211,39307,Toptal,108.24,4,12/4/2024,Data visualization project,Excel
212,39307,Toptal,53.07,5,4/8/2024,Machine learning script,Power BI
213,29394,PeoplePerHour,18.71,7,12/17/2022,Web scraping service,SQL
214,29394,Freelancer,137.43,3,8/9/2021,Data analysis with Python,C++
215,9221,Toptal,18.93,6,3/4/2024,Data visualization project,Python
216,9221,Toptal,95.3,6,11/17/2023,Statistical data analysis,Tableau
217,24077,Fiverr,233.45,4,11/25/2020,Web scraping service,Tableau
218,24077,PeoplePerHour,3.67,6,10/8/2022,Machine learning script,SQL
219,1030,PeoplePerHour,22.01,7,2/13/2021,Data visualization project,Power BI
220,1030,Toptal,61.65,6,10/25/2022,Bug fixing and testing,C++
221,1778,Toptal,263.92,4,3/9/2021,Dashboard in Power BI,Power BI
222,1778,PeoplePerHour,257.06,3,5/2/2021,Data analysis with Python,Excel
223,28589,PeoplePerHour,268.35,6,1/15/2022,Machine learning script,C++
224,28589,Toptal,44.27,6,8/23/2024,ETL pipeline creation,Power BI
225,39014,PeoplePerHour,237.02,5,10/12/2023,Web scraping service,SQL
226,39014,Toptal,114.63,4,11/9/2022,Data visualization project,C++
227,30556,Toptal,244.24,6,4/28/2020,Statistical data analysis,SQL
228,30556,Toptal,21.84,6,8/4/2022,Machine learning script,Power BI
229,16037,Toptal,264.43,5,5/28/2020,ETL pipeline creation,Power BI
230,16037,Fiverr,276.05,3,6/7/2021,Statistical data analysis,Power BI
231,27776,Freelancer,176.22,4,5/29/2022,Backend API development,C++
232,27776,Freelancer,156.09,4,5/27/2023,Machine learning script,Python
233,22461,Upwork,64.53,5,9/21/2022,Automated report building,Python
234,22461,PeoplePerHour,130.76,4,1/7/2023,Dashboard in Power BI,R
235,33732,Toptal,104.11,7,6/1/2022,Data analysis with Python,JavaScript
236,33732,Toptal,245.27,6,2/21/2020,Backend API development,C++
237,29380,Toptal,91.21,7,6/24/2020,Bug fixing and testing,JavaScript
238,29380,PeoplePerHour,71.82,6,10/12/2023,Data analysis with Python,Python
239,38195,Fiverr,267.02,3,2/1/2023,Backend API development,JavaScript
240,38195,Toptal,228.73,3,7/29/2020,Bug fixing and testing,R
241,17103,Toptal,275.6,5,6/4/2020,Web scraping service,C++
242,17103,Toptal,16.68,4,2/27/2024,Automated report building,SQL
243,38630,PeoplePerHour,184.02,4,2/10/2022,Data visualization project,SQL
244,38630,Freelancer,135.3,5,1/26/2022,Machine learning script,R
245,9700,Toptal,233.26,4,3/12/2023,Bug fixing and testing,Python
246,9700,PeoplePerHour,26.45,4,10/14/2022,Data analysis with Python,SQL
247,13799,PeoplePerHour,274.81,6,6/21/2022,Data analysis with Python,SQL
248,13799,Toptal,181.47,4,8/8/2022,Data visualization project,Power BI
249,7828,PeoplePerHour,46.1,6,8/6/2022,Data analysis with Python,Excel
250,7828,Toptal,250.64,6,2/24/2021,Backend API development,Tableau
251,41459,Upwork,293.5,3,5/15/2023,Backend API development,Excel
252,41459,Upwork,260.32,3,2/5/2023,Machine learning script,Power BI
253,22718,Toptal,94.68,7,7/9/2024,Web scraping service,Tableau
254,22718,Upwork,61.95,6,3/20/2022,Web scraping service,JavaScript
255,7104,Fiverr,49.76,4,2/2/2023,Web scraping service,R
256,7104,PeoplePerHour,265.53,5,5/7/2021,ETL pipeline creation,SQL
257,7216,Fiverr,103.64,4,7/25/2023,Machine learning script,C++
258,7216,Fiverr,82.37,6,12/9/2021,Backend API development,Tableau
259,524,PeoplePerHour,206.86,4,9/15/2023,Data visualization project,Power BI
260,524,Fiverr,266.71,7,10/30/2020,Statistical data analysis,C++
261,41473,Freelancer,289.54,7,8/27/2024,Automated report building,Excel
262,41473,PeoplePerHour,219.68,7,2/19/2022,ETL pipeline creation,R
263,36553,Fiverr,3.49,6,2/22/2020,Web scraping service,Power BI
264,36553,Toptal,104.27,7,3/27/2022,Data analysis with Python,Power BI
265,5140,Upwork,104.53,3,5/2/2021,Data analysis with Python,Excel
266,5140,Fiverr,166.2,7,10/19/2023,Data visualization project,Python
267,32341,Toptal,120.57,3,12/29/2021,Dashboard in Power BI,Tableau
268,32341,Toptal,197.87,4,8/2/2023,Web scraping service,JavaScript
269,33592,Toptal,6.3,7,6/15/2024,Bug fixing and testing,JavaScript
270,33592,PeoplePerHour,11.29,3,2/10/2024,Dashboard in Power BI,JavaScript
271,12974,PeoplePerHour,181.18,4,10/8/2022,ETL pipeline creation,C++
272,12974,Freelancer,127.15,3,1/28/2020,Statistical data analysis,Tableau
273,5134,PeoplePerHour,136.42,3,3/26/2023,Web scraping service,R
274,5134,Freelancer,201.28,7,12/18/2024,Web scraping service,R
275,14950,Fiverr,28.31,7,3/26/2020,Data visualization project,SQL
276,14950,Toptal,56.04,5,2/11/2021,Data analysis with Python,Tableau
277,21625,Upwork,7.1,4,11/7/2021,ETL pipeline creation,Tableau
278,21625,Upwork,145.96,3,1/16/2021,Data visualization project,Python
279,30052,Fiverr,281.63,5,1/30/2020,Web scraping service,Tableau
280,30052,PeoplePerHour,174.1,3,8/29/2023,Data analysis with Python,C++
281,4649,PeoplePerHour,182.11,5,10/22/2020,Backend API development,C++
282,4649,Fiverr,104.5,5,12/6/2024,Backend API development,JavaScript
283,40553,Fiverr,183.14,4,12/22/2020,Web scraping service,C++
284,40553,Fiverr,60.53,3,10/15/2020,Data analysis with Python,JavaScript
285,3853,Freelancer,208.02,4,3/29/2022,Web scraping service,JavaScript
286,3853,Freelancer,42.76,6,5/15/2022,Statistical data analysis,Python
287,38734,Fiverr,246.84,6,9/3/2023,Bug fixing and testing,SQL
288,38734,Toptal,270.21,4,1/25/2020,Statistical data analysis,Power BI
289,12918,Upwork,251.77,6,8/4/2023,ETL pipeline creation,Python
290,12918,PeoplePerHour,146.92,6,9/11/2022,ETL pipeline creation,SQL
291,26860,Fiverr,62.62,4,8/17/2021,Backend API development,JavaScript
292,26860,Fiverr,203.78,6,11/15/2022,Bug fixing and testing,JavaScript
293,27872,Toptal,12.78,3,10/22/2023,Web scraping service,Python
294,27872,Freelancer,60.14,6,11/11/2024,Web scraping service,JavaScript
295,7239,Toptal,64.56,5,2/19/2020,Dashboard in Power BI,Python
296,7239,Fiverr,18.99,4,1/17/2024,Data analysis with Python,Power BI
297,31717,Upwork,119.13,6,2/13/2023,Bug fixing and testing,Excel
298,31717,Toptal,187.93,4,4/24/2022,Automated report building,Excel
299,26838,Freelancer,4.84,5,9/18/2023,Automated report building,R
300,26838,Upwork,51.48,4,1/17/2021,Automated report building,R
301,23626,PeoplePerHour,183.05,6,10/3/2020,ETL pipeline creation,Tableau
302,23626,Upwork,39.89,7,9/11/2021,Data visualization project,Python
303,33234,PeoplePerHour,215.05,5,6/15/2020,Web scraping service,Python
304,33234,Freelancer,171,7,7/15/2023,Bug fixing and testing,Python
305,33244,PeoplePerHour,233.72,7,4/25/2022,Data analysis with Python,R
306,33244,Toptal,256.3,7,3/9/2023,Data analysis with Python,R
307,5622,Fiverr,269.36,5,5/26/2023,ETL pipeline creation,Power BI
308,5622,Toptal,20.15,3,3/31/2021,Automated report building,C++
309,34461,PeoplePerHour,88.26,4,1/14/2024,Automated report building,Power BI
310,34461,Freelancer,163.9,4,3/21/2021,Automated report building,Power BI
311,33429,Freelancer,263.62,4,4/16/2024,Data visualization project,Python
312,33429,Upwork,87.51,4,6/26/2023,Data analysis with Python,R
313,15726,Upwork,57.78,4,5/6/2023,Backend API development,Python
314,15726,PeoplePerHour,102.1,7,10/1/2022,Automated report building,Python
315,30500,Freelancer,8.15,6,12/29/2021,Automated report building,Python
316,30500,Upwork,251.7,4,10/28/2021,Data analysis with Python,R
317,24753,PeoplePerHour,64.36,7,6/4/2022,Data visualization project,R
318,24753,Freelancer,67.62,3,6/28/2021,Backend API development,Tableau
319,1409,Fiverr,91.2,6,10/9/2024,Backend API development,Python
320,1409,Fiverr,69.16,5,6/15/2023,Dashboard in Power BI,C++
321,27588,Toptal,124.68,3,3/12/2020,Statistical data analysis,Tableau
322,27588,Toptal,229.57,4,10/28/2021,Automated report building,Tableau
323,4437,Freelancer,182.56,6,9/21/2022,Bug fixing and testing,Power BI
324,4437,Freelancer,284.65,3,7/15/2021,Automated report building,Python
325,29536,Freelancer,291.64,5,5/7/2024,Dashboard in Power BI,SQL
326,29536,Upwork,238.77,4,5/23/2020,Bug fixing and testing,Python
327,5071,Upwork,71.14,7,2/22/2023,Machine learning script,SQL
328,5071,Freelancer,290.2,5,5/8/2021,Backend API development,Tableau
329,8668,Upwork,154.82,7,6/7/2021,Automated report building,SQL
330,8668,Upwork,237.84,7,4/12/2024,ETL pipeline creation,Excel
331,23290,Toptal,202.26,7,1/17/2020,Automated report building,Excel
332,23290,Freelancer,21.63,3,4/10/2020,Bug fixing and testing,Power BI
333,22368,Toptal,80.82,7,12/26/2024,Data analysis with Python,Power BI
334,22368,Fiverr,106.23,6,6/19/2021,ETL pipeline creation,Tableau
335,3626,Upwork,57.3,4,9/4/2020,ETL pipeline creation,Tableau
336,3626,Upwork,72.45,5,1/30/2024,Data visualization project,SQL
337,29541,Freelancer,237.14,5,6/19/2023,Bug fixing and testing,Python
338,29541,Freelancer,220.39,3,4/23/2022,Statistical data analysis,Python
339,22558,Toptal,165.99,4,12/2/2021,Dashboard in Power BI,JavaScript
340,22558,Toptal,258.31,4,7/7/2021,Bug fixing and testing,R
341,35445,Freelancer,286.95,5,1/15/2022,Dashboard in Power BI,Power BI
342,35445,Fiverr,199.99,6,9/19/2020,Backend API development,Excel
343,17408,Fiverr,255.39,6,9/27/2020,Machine learning script,SQL
344,17408,PeoplePerHour,89.66,7,10/28/2023,Automated report building,Tableau
345,37598,Upwork,266.73,7,5/11/2023,Bug fixing and testing,SQL
346,37598,Toptal,30.49,4,10/7/2021,Backend API development,R
347,12827,Upwork,126.28,7,8/10/2021,Bug fixing and testing,Tableau
348,12827,Upwork,127.25,6,9/21/2021,Data visualization project,Power BI
349,39940,Freelancer,116.3,4,7/26/2023,ETL pipeline creation,Tableau
350,39940,Upwork,7.99,6,3/29/2024,Web scraping service,Power BI
351,7648,Upwork,129.26,5,11/7/2022,Data visualization project,C++
352,7648,Freelancer,44.34,5,10/10/2023,ETL pipeline creation,R
353,31370,PeoplePerHour,186.78,7,2/2/2020,Data visualization project,Power BI
354,31370,Fiverr,158,7,7/25/2023,Statistical data analysis,SQL
355,35102,Toptal,206.29,5,6/20/2021,Web scraping service,Power BI
356,35102,Freelancer,83.91,4,10/22/2020,Statistical data analysis,R
357,10458,Upwork,127.92,7,6/17/2020,Backend API development,C++
358,10458,Upwork,142.73,4,2/28/2024,Statistical data analysis,Excel
359,27461,Freelancer,206.58,7,4/23/2022,Dashboard in Power BI,Tableau
360,27461,PeoplePerHour,255.16,4,6/23/2024,Statistical data analysis,R
361,17436,Toptal,97.61,6,4/23/2022,Data analysis with Python,SQL
362,17436,PeoplePerHour,119.79,6,2/14/2023,Machine learning script,Excel
363,3821,Fiverr,177.33,6,8/13/2020,Web scraping service,Tableau
364,3821,Freelancer,85.39,7,8/20/2020,ETL pipeline creation,Tableau
365,35841,Upwork,278.46,4,3/21/2021,Machine learning script,Tableau
366,35841,Fiverr,285.26,4,12/22/2023,Dashboard in Power BI,Tableau
367,12926,Freelancer,50.06,6,3/9/2024,ETL pipeline creation,Power BI
368,12926,Freelancer,125.66,5,9/8/2023,Statistical data analysis,JavaScript
369,17677,Toptal,93.25,6,11/18/2023,Dashboard in Power BI,C++
370,17677,Upwork,209.98,4,10/9/2023,ETL pipeline creation,C++
371,17905,Upwork,145,7,12/24/2024,Data analysis with Python,R
372,17905,Freelancer,222.57,5,7/1/2020,Backend API development,C++
373,20112,Fiverr,103.72,3,1/25/2024,Automated report building,JavaScript
374,20112,Upwork,86.38,3,7/6/2021,Automated report building,Power BI
375,13575,Fiverr,156.66,5,10/7/2024,Bug fixing and testing,Excel
376,13575,Upwork,76.06,5,3/22/2021,ETL pipeline creation,C++
377,17996,Fiverr,19.22,7,1/28/2024,Dashboard in Power BI,C++
378,17996,Upwork,105.25,3,1/30/2021,Bug fixing and testing,Power BI
379,4026,Fiverr,178.07,7,5/18/2024,Automated report building,JavaScript
380,4026,Fiverr,174.38,4,11/25/2022,Backend API development,Excel
381,11999,Freelancer,133.31,6,1/23/2020,Machine learning script,Tableau
