choice_id,Question_id,Choice,location
145,55,True,A
146,55,False,B
147,56,Choice A for Q56,A
148,56,Choice B for Q56,B
149,56,Choice C for Q56,C
150,56,Choice D for Q56,D
151,57,Choice A for Q57,A
152,57,Choice B for Q57,B
153,57,Choice C for Q57,C
154,57,Choice D for Q57,D
155,58,Choice A for Q58,A
156,58,Choice B for Q58,B
157,58,Choice C for Q58,C
158,58,Choice D for Q58,D
159,59,True,A
160,59,False,B
161,60,True,A
162,60,False,B
163,61,Choice A for Q61,A
164,61,Choice B for Q61,B
165,61,Choice C for Q61,C
166,61,Choice D for Q61,D
167,62,Choice A for Q62,A
168,62,Choice B for Q62,B
169,62,Choice C for Q62,C
170,62,Choice D for Q62,D
171,63,True,A
172,63,False,B
173,64,True,A
174,64,False,B
175,65,True,A
176,65,False,B
177,66,Choice A for Q66,A
178,66,Choice B for Q66,B
179,66,Choice C for Q66,C
180,66,Choice D for Q66,D
181,67,True,A
182,67,False,B
183,68,True,A
184,68,False,B
185,69,True,A
186,69,False,B
187,70,True,A
188,70,False,B
189,71,Choice A for Q71,A
190,71,Choice B for Q71,B
191,71,Choice C for Q71,C
192,71,Choice D for Q71,D
193,72,True,A
194,72,False,B
195,73,Choice A for Q73,A
196,73,Choice B for Q73,B
197,73,Choice C for Q73,C
198,73,Choice D for Q73,D
199,74,True,A
200,74,False,B
201,75,True,A
202,75,False,B
203,76,Choice A for Q76,A
204,76,Choice B for Q76,B
205,76,Choice C for Q76,C
206,76,Choice D for Q76,D
207,77,True,A
208,77,False,B
209,78,True,A
210,78,False,B
211,79,Choice A for Q79,A
212,79,Choice B for Q79,B
213,79,Choice C for Q79,C
214,79,Choice D for Q79,D
215,80,Choice A for Q80,A
216,80,Choice B for Q80,B
217,80,Choice C for Q80,C
218,80,Choice D for Q80,D
219,81,True,A
220,81,False,B
221,82,True,A
222,82,False,B
223,83,True,A
224,83,False,B
225,84,Choice A for Q84,A
226,84,Choice B for Q84,B
227,84,Choice C for Q84,C
228,84,Choice D for Q84,D
229,85,Choice A for Q85,A
230,85,Choice B for Q85,B
231,85,Choice C for Q85,C
232,85,Choice D for Q85,D
233,86,True,A
234,86,False,B
235,87,True,A
236,87,False,B
237,88,True,A
238,88,False,B
239,89,Choice A for Q89,A
240,89,Choice B for Q89,B
241,89,Choice C for Q89,C
242,89,Choice D for Q89,D
243,90,True,A
244,90,False,B
245,91,True,A
246,91,False,B
247,92,Choice A for Q92,A
248,92,Choice B for Q92,B
249,92,Choice C for Q92,C
250,92,Choice D for Q92,D
251,93,True,A
252,93,False,B
253,94,Choice A for Q94,A
254,94,Choice B for Q94,B
255,94,Choice C for Q94,C
256,94,Choice D for Q94,D
257,95,True,A
258,95,False,B
259,96,True,A
260,96,False,B
261,97,True,A
262,97,False,B
263,98,True,A
264,98,False,B
265,99,True,A
266,99,False,B
267,100,True,A
268,100,False,B
269,101,True,A
270,101,False,B
271,102,True,A
272,102,False,B
273,103,True,A
274,103,False,B
275,104,True,A
276,104,False,B
277,105,True,A
278,105,False,B
279,106,Choice A for Q106,A
280,106,Choice B for Q106,B
281,106,Choice C for Q106,C
282,106,Choice D for Q106,D
283,107,Choice A for Q107,A
284,107,Choice B for Q107,B
285,107,Choice C for Q107,C
286,107,Choice D for Q107,D
287,108,True,A
288,108,False,B
289,109,Choice A for Q109,A
290,109,Choice B for Q109,B
291,109,Choice C for Q109,C
292,109,Choice D for Q109,D
293,110,Choice A for Q110,A
294,110,Choice B for Q110,B
295,110,Choice C for Q110,C
296,110,Choice D for Q110,D
297,111,Choice A for Q111,A
298,111,Choice B for Q111,B
299,111,Choice C for Q111,C
300,111,Choice D for Q111,D
301,112,True,A
302,112,False,B
303,113,Choice A for Q113,A
304,113,Choice B for Q113,B
305,113,Choice C for Q113,C
306,113,Choice D for Q113,D
307,114,Choice A for Q114,A
308,114,Choice B for Q114,B
309,114,Choice C for Q114,C
310,114,Choice D for Q114,D
311,115,True,A
312,115,False,B
313,116,Choice A for Q116,A
314,116,Choice B for Q116,B
315,116,Choice C for Q116,C
316,116,Choice D for Q116,D
317,117,True,A
318,117,False,B
319,118,Choice A for Q118,A
320,118,Choice B for Q118,B
321,118,Choice C for Q118,C
322,118,Choice D for Q118,D
323,119,True,A
324,119,False,B
325,120,True,A
326,120,False,B
327,121,True,A
328,121,False,B
329,122,True,A
330,122,False,B
331,123,Choice A for Q123,A
332,123,Choice B for Q123,B
333,123,Choice C for Q123,C
334,123,Choice D for Q123,D
335,124,Choice A for Q124,A
336,124,Choice B for Q124,B
337,124,Choice C for Q124,C
338,124,Choice D for Q124,D
339,125,True,A
340,125,False,B
341,126,Choice A for Q126,A
342,126,Choice B for Q126,B
343,126,Choice C for Q126,C
344,126,Choice D for Q126,D
345,127,Choice A for Q127,A
346,127,Choice B for Q127,B
347,127,Choice C for Q127,C
348,127,Choice D for Q127,D
349,128,True,A
350,128,False,B
351,129,True,A
352,129,False,B
353,130,True,A
354,130,False,B
355,131,True,A
356,131,False,B
357,132,True,A
358,132,False,B
359,133,Choice A for Q133,A
360,133,Choice B for Q133,B
361,133,Choice C for Q133,C
362,133,Choice D for Q133,D
363,134,True,A
364,134,False,B
365,135,True,A
366,135,False,B
367,136,True,A
368,136,False,B
369,137,Choice A for Q137,A
370,137,Choice B for Q137,B
371,137,Choice C for Q137,C
372,137,Choice D for Q137,D
373,138,True,A
374,138,False,B
375,139,True,A
376,139,False,B
377,140,True,A
378,140,False,B
379,141,True,A
380,141,False,B
381,142,True,A
382,142,False,B
383,143,True,A
384,143,False,B
385,144,Choice A for Q144,A
386,144,Choice B for Q144,B
387,144,Choice C for Q144,C
388,144,Choice D for Q144,D
389,145,True,A
390,145,False,B
391,146,True,A
392,146,False,B
393,147,True,A
394,147,False,B
395,148,True,A
396,148,False,B
397,149,True,A
398,149,False,B
399,150,True,A
400,150,False,B
401,151,Choice A for Q151,A
402,151,Choice B for Q151,B
403,151,Choice C for Q151,C
404,151,Choice D for Q151,D
405,152,True,A
406,152,False,B
407,153,True,A
408,153,False,B
409,154,True,A
410,154,False,B
411,155,True,A
412,155,False,B
413,156,True,A
414,156,False,B
415,157,True,A
416,157,False,B
417,158,True,A
418,158,False,B
419,159,True,A
420,159,False,B
421,160,Choice A for Q160,A
422,160,Choice B for Q160,B
423,160,Choice C for Q160,C
424,160,Choice D for Q160,D
425,161,True,A
426,161,False,B
427,162,True,A
428,162,False,B
429,163,Choice A for Q163,A
430,163,Choice B for Q163,B
431,163,Choice C for Q163,C
432,163,Choice D for Q163,D
433,164,True,A
434,164,False,B
435,165,Choice A for Q165,A
436,165,Choice B for Q165,B
437,165,Choice C for Q165,C
438,165,Choice D for Q165,D
439,166,True,A
440,166,False,B
441,167,True,A
442,167,False,B
443,168,True,A
444,168,False,B
445,169,True,A
446,169,False,B
447,170,True,A
448,170,False,B
449,171,True,A
450,171,False,B
451,172,True,A
452,172,False,B
453,173,True,A
454,173,False,B
455,174,True,A
456,174,False,B
457,175,Choice A for Q175,A
458,175,Choice B for Q175,B
459,175,Choice C for Q175,C
460,175,Choice D for Q175,D
461,176,True,A
462,176,False,B
463,177,True,A
464,177,False,B
465,178,True,A
466,178,False,B
467,179,True,A
468,179,False,B
469,180,True,A
470,180,False,B
471,181,True,A
472,181,False,B
473,182,True,A
474,182,False,B
475,183,True,A
476,183,False,B
477,184,True,A
478,184,False,B
479,185,True,A
480,185,False,B
481,186,True,A
482,186,False,B
483,187,True,A
484,187,False,B
485,188,Choice A for Q188,A
486,188,Choice B for Q188,B
487,188,Choice C for Q188,C
488,188,Choice D for Q188,D
489,189,True,A
490,189,False,B
491,190,True,A
492,190,False,B
493,191,Choice A for Q191,A
494,191,Choice B for Q191,B
495,191,Choice C for Q191,C
496,191,Choice D for Q191,D
497,192,True,A
498,192,False,B
499,193,Choice A for Q193,A
500,193,Choice B for Q193,B
501,193,Choice C for Q193,C
502,193,Choice D for Q193,D
503,194,True,A
504,194,False,B
505,195,Choice A for Q195,A
506,195,Choice B for Q195,B
507,195,Choice C for Q195,C
508,195,Choice D for Q195,D
509,196,True,A
510,196,False,B
511,197,Choice A for Q197,A
512,197,Choice B for Q197,B
513,197,Choice C for Q197,C
514,197,Choice D for Q197,D
515,198,True,A
516,198,False,B
517,199,Choice A for Q199,A
518,199,Choice B for Q199,B
519,199,Choice C for Q199,C
520,199,Choice D for Q199,D
521,200,Choice A for Q200,A
522,200,Choice B for Q200,B
523,200,Choice C for Q200,C
524,200,Choice D for Q200,D
525,201,Choice A for Q201,A
526,201,Choice B for Q201,B
527,201,Choice C for Q201,C
528,201,Choice D for Q201,D
529,202,Choice A for Q202,A
530,202,Choice B for Q202,B
531,202,Choice C for Q202,C
532,202,Choice D for Q202,D
533,203,True,A
534,203,False,B
535,204,True,A
536,204,False,B
537,205,True,A
538,205,False,B
539,206,True,A
540,206,False,B
541,207,True,A
542,207,False,B
543,208,True,A
544,208,False,B
545,209,True,A
546,209,False,B
547,210,Choice A for Q210,A
548,210,Choice B for Q210,B
549,210,Choice C for Q210,C
550,210,Choice D for Q210,D
551,211,Choice A for Q211,A
552,211,Choice B for Q211,B
553,211,Choice C for Q211,C
554,211,Choice D for Q211,D
555,212,Choice A for Q212,A
556,212,Choice B for Q212,B
557,212,Choice C for Q212,C
558,212,Choice D for Q212,D
559,213,True,A
560,213,False,B
561,214,True,A
562,214,False,B
563,215,True,A
564,215,False,B
565,216,True,A
566,216,False,B
567,217,Choice A for Q217,A
568,217,Choice B for Q217,B
569,217,Choice C for Q217,C
570,217,Choice D for Q217,D
571,218,True,A
572,218,False,B
573,219,Choice A for Q219,A
574,219,Choice B for Q219,B
575,219,Choice C for Q219,C
576,219,Choice D for Q219,D
577,220,True,A
578,220,False,B
579,221,Choice A for Q221,A
580,221,Choice B for Q221,B
581,221,Choice C for Q221,C
582,221,Choice D for Q221,D
583,222,True,A
584,222,False,B
585,223,True,A
586,223,False,B
587,224,True,A
588,224,False,B
589,225,True,A
590,225,False,B
591,226,Choice A for Q226,A
592,226,Choice B for Q226,B
593,226,Choice C for Q226,C
594,226,Choice D for Q226,D
595,227,Choice A for Q227,A
596,227,Choice B for Q227,B
597,227,Choice C for Q227,C
598,227,Choice D for Q227,D
599,228,True,A
600,228,False,B
601,229,Choice A for Q229,A
602,229,Choice B for Q229,B
603,229,Choice C for Q229,C
604,229,Choice D for Q229,D
605,230,Choice A for Q230,A
606,230,Choice B for Q230,B
607,230,Choice C for Q230,C
608,230,Choice D for Q230,D
609,231,Choice A for Q231,A
610,231,Choice B for Q231,B
611,231,Choice C for Q231,C
612,231,Choice D for Q231,D
613,232,Choice A for Q232,A
614,232,Choice B for Q232,B
615,232,Choice C for Q232,C
616,232,Choice D for Q232,D
617,233,Choice A for Q233,A
618,233,Choice B for Q233,B
619,233,Choice C for Q233,C
620,233,Choice D for Q233,D
621,234,Choice A for Q234,A
622,234,Choice B for Q234,B
623,234,Choice C for Q234,C
624,234,Choice D for Q234,D
625,235,True,A
626,235,False,B
627,236,Choice A for Q236,A
628,236,Choice B for Q236,B
629,236,Choice C for Q236,C
630,236,Choice D for Q236,D
631,237,True,A
632,237,False,B
633,238,True,A
634,238,False,B
635,239,True,A
636,239,False,B
637,240,True,A
638,240,False,B
639,241,Choice A for Q241,A
640,241,Choice B for Q241,B
641,241,Choice C for Q241,C
642,241,Choice D for Q241,D
643,242,True,A
644,242,False,B
645,243,Choice A for Q243,A
646,243,Choice B for Q243,B
647,243,Choice C for Q243,C
648,243,Choice D for Q243,D
649,244,True,A
650,244,False,B
651,245,Choice A for Q245,A
652,245,Choice B for Q245,B
653,245,Choice C for Q245,C
654,245,Choice D for Q245,D
655,246,Choice A for Q246,A
656,246,Choice B for Q246,B
657,246,Choice C for Q246,C
658,246,Choice D for Q246,D
659,247,Choice A for Q247,A
660,247,Choice B for Q247,B
661,247,Choice C for Q247,C
662,247,Choice D for Q247,D
663,248,Choice A for Q248,A
664,248,Choice B for Q248,B
665,248,Choice C for Q248,C
666,248,Choice D for Q248,D
667,249,Choice A for Q249,A
668,249,Choice B for Q249,B
669,249,Choice C for Q249,C
670,249,Choice D for Q249,D
671,250,True,A
672,250,False,B
673,251,True,A
674,251,False,B
675,252,True,A
676,252,False,B
677,253,Choice A for Q253,A
678,253,Choice B for Q253,B
679,253,Choice C for Q253,C
680,253,Choice D for Q253,D
681,254,Choice A for Q254,A
682,254,Choice B for Q254,B
683,254,Choice C for Q254,C
684,254,Choice D for Q254,D
685,255,Choice A for Q255,A
686,255,Choice B for Q255,B
687,255,Choice C for Q255,C
688,255,Choice D for Q255,D
689,256,True,A
690,256,False,B
691,257,True,A
692,257,False,B
693,258,True,A
694,258,False,B
695,259,Choice A for Q259,A
696,259,Choice B for Q259,B
697,259,Choice C for Q259,C
698,259,Choice D for Q259,D
699,260,True,A
700,260,False,B
701,261,True,A
702,261,False,B
703,262,True,A
704,262,False,B
705,263,True,A
706,263,False,B
707,264,True,A
708,264,False,B
709,265,Choice A for Q265,A
710,265,Choice B for Q265,B
711,265,Choice C for Q265,C
712,265,Choice D for Q265,D
713,266,True,A
714,266,False,B
715,267,Choice A for Q267,A
716,267,Choice B for Q267,B
717,267,Choice C for Q267,C
718,267,Choice D for Q267,D
719,268,True,A
720,268,False,B
721,269,Choice A for Q269,A
722,269,Choice B for Q269,B
723,269,Choice C for Q269,C
724,269,Choice D for Q269,D
725,270,Choice A for Q270,A
726,270,Choice B for Q270,B
727,270,Choice C for Q270,C
728,270,Choice D for Q270,D
729,271,Choice A for Q271,A
730,271,Choice B for Q271,B
731,271,Choice C for Q271,C
732,271,Choice D for Q271,D
733,272,True,A
734,272,False,B
735,273,Choice A for Q273,A
736,273,Choice B for Q273,B
737,273,Choice C for Q273,C
738,273,Choice D for Q273,D
739,274,Choice A for Q274,A
740,274,Choice B for Q274,B
741,274,Choice C for Q274,C
742,274,Choice D for Q274,D
743,275,True,A
744,275,False,B
745,276,True,A
746,276,False,B
747,277,True,A
748,277,False,B
749,278,Choice A for Q278,A
750,278,Choice B for Q278,B
751,278,Choice C for Q278,C
752,278,Choice D for Q278,D
753,279,True,A
754,279,False,B
755,280,True,A
756,280,False,B
757,281,True,A
758,281,False,B
759,282,True,A
760,282,False,B
761,283,True,A
762,283,False,B
763,284,True,A
764,284,False,B
765,285,True,A
766,285,False,B
767,286,True,A
768,286,False,B
769,287,Choice A for Q287,A
770,287,Choice B for Q287,B
771,287,Choice C for Q287,C
772,287,Choice D for Q287,D
773,288,True,A
774,288,False,B
775,289,Choice A for Q289,A
776,289,Choice B for Q289,B
777,289,Choice C for Q289,C
778,289,Choice D for Q289,D
779,290,True,A
780,290,False,B
781,291,Choice A for Q291,A
782,291,Choice B for Q291,B
783,291,Choice C for Q291,C
784,291,Choice D for Q291,D
785,292,True,A
786,292,False,B
787,293,True,A
788,293,False,B
789,294,Choice A for Q294,A
790,294,Choice B for Q294,B
791,294,Choice C for Q294,C
792,294,Choice D for Q294,D
793,295,True,A
794,295,False,B
795,296,True,A
796,296,False,B
797,297,Choice A for Q297,A
798,297,Choice B for Q297,B
799,297,Choice C for Q297,C
800,297,Choice D for Q297,D
801,298,True,A
802,298,False,B
803,299,True,A
804,299,False,B
805,300,Choice A for Q300,A
806,300,Choice B for Q300,B
807,300,Choice C for Q300,C
808,300,Choice D for Q300,D
809,301,True,A
810,301,False,B
811,302,True,A
812,302,False,B
813,303,Choice A for Q303,A
814,303,Choice B for Q303,B
815,303,Choice C for Q303,C
816,303,Choice D for Q303,D
817,304,True,A
818,304,False,B
819,305,Choice A for Q305,A
820,305,Choice B for Q305,B
821,305,Choice C for Q305,C
822,305,Choice D for Q305,D
823,306,True,A
824,306,False,B
825,307,Choice A for Q307,A
826,307,Choice B for Q307,B
827,307,Choice C for Q307,C
828,307,Choice D for Q307,D
829,308,True,A
830,308,False,B
831,309,True,A
832,309,False,B
833,310,Choice A for Q310,A
834,310,Choice B for Q310,B
835,310,Choice C for Q310,C
836,310,Choice D for Q310,D
837,311,True,A
838,311,False,B
839,312,True,A
840,312,False,B
841,313,Choice A for Q313,A
842,313,Choice B for Q313,B
843,313,Choice C for Q313,C
844,313,Choice D for Q313,D
845,314,True,A
846,314,False,B
847,315,Choice A for Q315,A
848,315,Choice B for Q315,B
849,315,Choice C for Q315,C
850,315,Choice D for Q315,D
851,316,True,A
852,316,False,B
853,317,Choice A for Q317,A
854,317,Choice B for Q317,B
855,317,Choice C for Q317,C
856,317,Choice D for Q317,D
857,318,True,A
858,318,False,B
859,319,True,A
860,319,False,B
861,320,Choice A for Q320,A
862,320,Choice B for Q320,B
863,320,Choice C for Q320,C
864,320,Choice D for Q320,D
865,321,Choice A for Q321,A
866,321,Choice B for Q321,B
867,321,Choice C for Q321,C
868,321,Choice D for Q321,D
869,322,True,A
870,322,False,B
871,323,True,A
872,323,False,B
873,324,Choice A for Q324,A
874,324,Choice B for Q324,B
875,324,Choice C for Q324,C
876,324,Choice D for Q324,D
877,325,Choice A for Q325,A
878,325,Choice B for Q325,B
879,325,Choice C for Q325,C
880,325,Choice D for Q325,D
881,326,True,A
882,326,False,B
883,327,Choice A for Q327,A
884,327,Choice B for Q327,B
885,327,Choice C for Q327,C
886,327,Choice D for Q327,D
887,328,Choice A for Q328,A
888,328,Choice B for Q328,B
889,328,Choice C for Q328,C
890,328,Choice D for Q328,D
891,329,True,A
892,329,False,B
893,330,True,A
894,330,False,B
895,331,Choice A for Q331,A
896,331,Choice B for Q331,B
897,331,Choice C for Q331,C
898,331,Choice D for Q331,D
899,332,True,A
900,332,False,B
901,333,Choice A for Q333,A
902,333,Choice B for Q333,B
903,333,Choice C for Q333,C
904,333,Choice D for Q333,D
905,334,True,A
906,334,False,B
907,335,True,A
908,335,False,B
909,336,True,A
910,336,False,B
911,337,Choice A for Q337,A
912,337,Choice B for Q337,B
913,337,Choice C for Q337,C
914,337,Choice D for Q337,D
915,338,Choice A for Q338,A
916,338,Choice B for Q338,B
917,338,Choice C for Q338,C
918,338,Choice D for Q338,D
919,339,Choice A for Q339,A
920,339,Choice B for Q339,B
921,339,Choice C for Q339,C
922,339,Choice D for Q339,D
923,340,True,A
924,340,False,B
925,341,True,A
926,341,False,B
927,342,Choice A for Q342,A
928,342,Choice B for Q342,B
929,342,Choice C for Q342,C
930,342,Choice D for Q342,D
931,343,Choice A for Q343,A
932,343,Choice B for Q343,B
933,343,Choice C for Q343,C
934,343,Choice D for Q343,D
935,344,True,A
936,344,False,B
937,345,True,A
938,345,False,B
939,346,True,A
940,346,False,B
941,347,True,A
942,347,False,B
943,348,True,A
944,348,False,B
945,349,True,A
946,349,False,B
947,350,Choice A for Q350,A
948,350,Choice B for Q350,B
949,350,Choice C for Q350,C
950,350,Choice D for Q350,D
951,351,True,A
952,351,False,B
953,352,True,A
954,352,False,B
955,353,Choice A for Q353,A
956,353,Choice B for Q353,B
957,353,Choice C for Q353,C
958,353,Choice D for Q353,D
959,354,Choice A for Q354,A
960,354,Choice B for Q354,B
961,354,Choice C for Q354,C
962,354,Choice D for Q354,D
963,355,Choice A for Q355,A
964,355,Choice B for Q355,B
965,355,Choice C for Q355,C
966,355,Choice D for Q355,D
967,356,Choice A for Q356,A
968,356,Choice B for Q356,B
969,356,Choice C for Q356,C
970,356,Choice D for Q356,D
971,357,Choice A for Q357,A
972,357,Choice B for Q357,B
973,357,Choice C for Q357,C
974,357,Choice D for Q357,D
975,358,True,A
976,358,False,B
977,359,True,A
978,359,False,B
979,360,True,A
980,360,False,B
981,361,True,A
982,361,False,B
983,362,True,A
984,362,False,B
985,363,True,A
986,363,False,B
987,364,True,A
988,364,False,B
989,365,True,A
990,365,False,B
991,366,Choice A for Q366,A
992,366,Choice B for Q366,B
993,366,Choice C for Q366,C
994,366,Choice D for Q366,D
995,367,Choice A for Q367,A
996,367,Choice B for Q367,B
997,367,Choice C for Q367,C
998,367,Choice D for Q367,D
999,368,True,A
1000,368,False,B
1001,369,True,A
1002,369,False,B
1003,370,True,A
1004,370,False,B
1005,371,Choice A for Q371,A
1006,371,Choice B for Q371,B
1007,371,Choice C for Q371,C
1008,371,Choice D for Q371,D
1009,372,True,A
1010,372,False,B
1011,373,True,A
1012,373,False,B
1013,374,True,A
1014,374,False,B
1015,375,Choice A for Q375,A
1016,375,Choice B for Q375,B
1017,375,Choice C for Q375,C
1018,375,Choice D for Q375,D
1019,376,True,A
1020,376,False,B
1021,377,Choice A for Q377,A
1022,377,Choice B for Q377,B
1023,377,Choice C for Q377,C
1024,377,Choice D for Q377,D
1025,378,Choice A for Q378,A
1026,378,Choice B for Q378,B
1027,378,Choice C for Q378,C
1028,378,Choice D for Q378,D
1029,379,Choice A for Q379,A
1030,379,Choice B for Q379,B
1031,379,Choice C for Q379,C
1032,379,Choice D for Q379,D
1033,380,Choice A for Q380,A
1034,380,Choice B for Q380,B
1035,380,Choice C for Q380,C
1036,380,Choice D for Q380,D
1037,381,Choice A for Q381,A
1038,381,Choice B for Q381,B
1039,381,Choice C for Q381,C
1040,381,Choice D for Q381,D
1041,382,True,A
1042,382,False,B
1043,383,True,A
1044,383,False,B
1045,384,Choice A for Q384,A
1046,384,Choice B for Q384,B
1047,384,Choice C for Q384,C
1048,384,Choice D for Q384,D
1049,385,True,A
1050,385,False,B
1051,386,True,A
1052,386,False,B
1053,387,Choice A for Q387,A
1054,387,Choice B for Q387,B
1055,387,Choice C for Q387,C
1056,387,Choice D for Q387,D
1057,388,Choice A for Q388,A
1058,388,Choice B for Q388,B
1059,388,Choice C for Q388,C
1060,388,Choice D for Q388,D
1061,389,Choice A for Q389,A
1062,389,Choice B for Q389,B
1063,389,Choice C for Q389,C
1064,389,Choice D for Q389,D
1065,390,True,A
1066,390,False,B
1067,391,True,A
1068,391,False,B
1069,392,Choice A for Q392,A
1070,392,Choice B for Q392,B
1071,392,Choice C for Q392,C
1072,392,Choice D for Q392,D
1073,393,True,A
1074,393,False,B
1075,394,True,A
1076,394,False,B
1077,395,True,A
1078,395,False,B
1079,396,Choice A for Q396,A
1080,396,Choice B for Q396,B
1081,396,Choice C for Q396,C
1082,396,Choice D for Q396,D
1083,397,True,A
1084,397,False,B
1085,398,True,A
1086,398,False,B
1087,399,Choice A for Q399,A
1088,399,Choice B for Q399,B
1089,399,Choice C for Q399,C
1090,399,Choice D for Q399,D
1091,400,True,A
1092,400,False,B
1093,401,True,A
1094,401,False,B
1095,402,True,A
1096,402,False,B
1097,403,True,A
1098,403,False,B
1099,404,True,A
1100,404,False,B
1101,405,Choice A for Q405,A
1102,405,Choice B for Q405,B
1103,405,Choice C for Q405,C
1104,405,Choice D for Q405,D
1105,406,Choice A for Q406,A
1106,406,Choice B for Q406,B
1107,406,Choice C for Q406,C
1108,406,Choice D for Q406,D
1109,407,True,A
1110,407,False,B
1111,408,Choice A for Q408,A
1112,408,Choice B for Q408,B
1113,408,Choice C for Q408,C
1114,408,Choice D for Q408,D
1115,409,True,A
1116,409,False,B
1117,410,Choice A for Q410,A
1118,410,Choice B for Q410,B
1119,410,Choice C for Q410,C
1120,410,Choice D for Q410,D
1121,411,True,A
1122,411,False,B
1123,412,Choice A for Q412,A
1124,412,Choice B for Q412,B
1125,412,Choice C for Q412,C
1126,412,Choice D for Q412,D
1127,413,Choice A for Q413,A
1128,413,Choice B for Q413,B
1129,413,Choice C for Q413,C
1130,413,Choice D for Q413,D
1131,414,Choice A for Q414,A
1132,414,Choice B for Q414,B
1133,414,Choice C for Q414,C
1134,414,Choice D for Q414,D
1135,415,True,A
1136,415,False,B
1137,416,True,A
1138,416,False,B
1139,417,True,A
1140,417,False,B
1141,418,True,A
1142,418,False,B
1143,419,Choice A for Q419,A
1144,419,Choice B for Q419,B
1145,419,Choice C for Q419,C
1146,419,Choice D for Q419,D
1147,420,True,A
1148,420,False,B
1149,421,True,A
1150,421,False,B
1151,422,True,A
1152,422,False,B
1153,423,True,A
1154,423,False,B
1155,424,Choice A for Q424,A
1156,424,Choice B for Q424,B
1157,424,Choice C for Q424,C
1158,424,Choice D for Q424,D
1159,425,Choice A for Q425,A
1160,425,Choice B for Q425,B
1161,425,Choice C for Q425,C
1162,425,Choice D for Q425,D
1163,426,Choice A for Q426,A
1164,426,Choice B for Q426,B
1165,426,Choice C for Q426,C
1166,426,Choice D for Q426,D
1167,427,True,A
1168,427,False,B
1169,428,True,A
1170,428,False,B
1171,429,True,A
1172,429,False,B
1173,430,True,A
1174,430,False,B
